# DerivedNormalizationProps-4.0.1.txt
# Date: 2004-03-02, 02:42:17 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2004 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see UCD.html

# ================================================

# Derived Property: FC_NFKC_Closure
#  Generated from computing: b = NFKC(Fold(a)); c = NFKC(Fold(b));
#  Then if (c != b) add the mapping from a to c to the set of
#  mappings that constitute the FC_NFKC_Closure list
#  Uses the full case folding from CaseFolding.txt, without the T option.

037A  ; FC_NFKC; 0020 03B9      # Lm  GREEK YPOGEGRAMMENI
0139..013E    ; NFD_QC; N # L&   [6] LATIN CAPITAL LETTER L WITH ACUTE..LATIN SMALL LETTER L WITH CARON
0143..0148    ; NFD_QC; N # L&   [6] LATIN CAPITAL LETTER N WITH ACUTE..LATIN SMALL LETTER N WITH CARON
014C..0151    ; NFD_QC; N # L&   [6] LATIN CAPITAL LETTER O WITH MACRON..LATIN SMALL LETTER O WITH DOUBLE ACUTE
0154..0165    ; NFD_QC; N # L&  [18] LATIN CAPITAL LETTER R WITH ACUTE..LATIN SMALL LETTER T WITH CARON
0168..017E    ; NFD_QC; N # L&  [23] LATIN CAPITAL LETTER U WITH TILDE..LATIN SMALL LETTER Z WITH CARON
01A0..01A1    ; NFD_QC; N # L&   [2] LATIN CAPITAL LETTER O WITH HORN..LATIN SMALL LETTER O WITH HORN
01AF..01B0    ; NFD_QC; N # L&   [2] LATIN CAPITAL LETTER U WITH HORN..LATIN SMALL LETTER U WITH HORN
01CD..01DC    ; NFD_QC; N # L&  [16] LATIN CAPITAL LETTER A WITH CARON..LATIN SMALL LETTER U WITH DIAERESIS AND GRAVE
01DE..01E3    ; NFD_QC; N # L&   [6] LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON..LATIN SMALL LETTER AE WITH MACRON
01E6..01F0    ; NFD_QC; N # L&  [11] LATIN CAPITAL LETTER G WITH CARON..LATIN SMALL LETTER J WITH CARON
01F4..01F5    ; NFD_QC; N # L&   [2] LATIN CAPITAL LETTER G WITH ACUTE..LATIN SMALL LETTER G WITH ACUTE
01F8..021B    ; NFD_QC; N # L&  [36] LATIN CAPITAL LETTER N WITH GRAVE..LATIN SMALL LETTER T WITH COMMA BELOW
021E..021F    ; NFD_QC; N # L&   [2] LATIN CAPITAL LETTER H WITH CARON..LATIN SMALL LETTER H WITH CARON
0226..0233    ; NFD_QC; N # L&  [14] LATIN CAPITAL LETTER A WITH DOT ABOVE..LATIN SMALL LETTER Y WITH MACRON
0340..0341    ; NFD_QC; N # Mn   [2] COMBINING GRAVE TONE MARK..COMBINING ACUTE TONE MARK
0343..0344    ; NFD_QC; N # Mn   [2] COMBINING GREEK KORONIS..COMBINING GREEK DIALYTIKA TONOS
0374          ; NFD_QC; N # Sk       GREEK NUMERAL SIGN
037E          ; NFD_QC; N # Po       GREEK QUESTION MARK
0385          ; NFD_QC; N # Sk       GREEK DIALYTIKA TONOS
0386          ; NFD_QC; N # L&       GREEK CAPITAL LETTER ALPHA WITH TONOS
0387          ; NFD_QC; N # Po       GREEK ANO TELEIA
0388..038A    ; NFD_QC; N # L&   [3] GREEK CAPITAL LETTER EPSILON WITH TONOS..GREEK CAPITAL LETTER IOTA WITH TONOS
038C          ; NFD_QC; N # L&       GREEK CAPITAL LETTER OMICRON WITH TONOS
038E..0390    ; NFD_QC; N # L&   [3] GREEK CAPITAL LETTER UPSILON WITH TONOS..GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS
03AA..03B0    ; NFD_QC; N # L&   [7] GREEK CAPITAL LETTER IOTA WITH DIALYTIKA..GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND TONOS
03CA..03CE    ; NFD_QC; N # L&   [5] GREEK SMALL LETTER IOTA WITH DIALYTIKA..GREEK SMALL LETTER OMEGA WITH TONOS
03D3..03D4    ; NFD_QC; N # L&   [2] GREEK UPSILON WITH ACUTE AND HOOK SYMBOL..GREEK UPSILON WITH DIAERESIS AND HOOK SYMBOL
0400..0401    ; NFD_QC; N # L&   [2] CYRILLIC CAPITAL LETTER IE WITH GRAVE..CYRILLIC CAPITAL LETTER IO
0403          ; NFD_QC; N # L&       CYRILLIC CAPITAL LETTER GJE
0407          ; NFD_QC; N # L&       CYRILLIC CAPITAL LETTER YI
040C..040E    ; NFD_QC; N # L&   [3] CYRILLIC CAPITAL LETTER KJE..CYRILLIC CAPITAL LETTER SHORT U
0419          ; NFD_QC; N # L&       CYRILLIC CAPITAL LETTER SHORT I
0439          ; NFD_QC; N # L&       CYRILLIC SMALL LETTER SHORT I
0450..0451    ; NFD_QC; N # L&   [2] CYRILLIC SMALL LETTER IE WITH GRAVE..CYRILLIC SMALL LETTER IO
0453          ; NFD_QC; N # L&       CYRILLIC SMALL LETTER GJE
0457          ; NFD_QC; N # L&       CYRILLIC SMALL LETTER YI
045C..045E    ; NFD_QC; N # L&   [3] CYRILLIC SMALL LETTER KJE..CYRILLIC SMALL LETTER SHORT U
0476..0477    ; NFD_QC; N # L&   [2] CYRILLIC CAPITAL LETTER IZHITSA WITH DOUBLE GRAVE ACCENT..CYRILLIC SMALL LETTER IZHITSA WITH DOUBLE GRAVE ACCENT
04C1..04C2    ; NFD_QC; N # L&   [2] CYRILLIC CAPITAL LETTER ZHE WITH BREVE..CYRILLIC SMALL LETTER ZHE WITH BREVE
04D0..04D3    ; NFD_QC; N # L&   [4] CYRILLIC CAPITAL LETTER A WITH BREVE..CYRILLIC SMALL LETTER A WITH DIAERESIS
04D6..04D7    ; NFD_QC; N # L&   [2] CYRILLIC CAPITAL LETTER IE WITH BREVE..CYRILLIC SMALL LETTER IE WITH BREVE
04DA..04DF    ; NFD_QC; N # L&   [6] CYRILLIC CAPITAL LETTER SCHWA WITH DIAERESIS..CYRILLIC SMALL LETTER ZE WITH DIAERESIS
04E2..04E7    ; NFD_QC; N # L&   [6] CYRILLIC CAPITAL LETTER I WITH MACRON..CYRILLIC SMALL LETTER O WITH DIAERESIS
04EA..04F5    ; NFD_QC; N # L&  [12] CYRILLIC CAPITAL LETTER BARRED O WITH DIAERESIS..CYRILLIC SMALL LETTER CHE WITH DIAERESIS
04F8..04F9    ; NFD_QC; N # L&   [2] CYRILLIC CAPITAL LETTER YERU WITH DIAERESIS..CYRILLIC SMALL LETTER YERU WITH DIAERESIS
0622..0626    ; NFD_QC; N # Lo   [5] ARABIC LETTER ALEF WITH MADDA ABOVE..ARABIC LETTER YEH WITH HAMZA ABOVE
06C0          ; NFD_QC; N # Lo       ARABIC LETTER HEH WITH YEH ABOVE
06C2          ; NFD_QC; N # Lo       ARABIC LETTER HEH GOAL WITH HAMZA ABOVE
06D3          ; NFD_QC; N # Lo       ARABIC LETTER YEH BARREE WITH HAMZA ABOVE
0929          ; NFD_QC; N # Lo       DEVANAGARI LETTER NNNA
0931          ; NFD_QC; N # Lo       DEVANAGARI LETTER RRA
0934          ; NFD_QC; N # Lo       DEVANAGARI LETTER LLLA
0958..095F    ; NFD_QC; N # Lo   [8] DEVANAGARI LETTER QA..DEVANAGARI LETTER YYA
09CB..09CC    ; NFD_QC; N # Mc   [2] BENGALI VOWEL SIGN O..BENGALI VOWEL SIGN AU
09DC..09DD    ; NFD_QC; N # Lo   [2] BENGALI LETTER RRA..BENGALI LETTER RHA
09DF          ; NFD_QC; N # Lo       BENGALI LETTER YYA
0A33          ; NFD_QC; N # Lo       GURMUKHI LETTER LLA
0A36          ; NFD_QC; N # Lo       GURMUKHI LETTER SHA
0A59..0A5B    ; NFD_QC; N # Lo   [3] GURMUKHI LETTER KHHA..GURMUKHI LETTER ZA
0A5E          ; NFD_QC; N # Lo       GURMUKHI LETTER FA
0B48          ; NFD_QC; N # Mc       ORIYA VOWEL SIGN AI
0B4B..0B4C    ; NFD_QC; N # Mc   [2] ORIYA VOWEL SIGN O..ORIYA VOWEL SIGN AU
0B5C..0B5D    ; NFD_QC; N # Lo   [2] ORIYA LETTER RRA..ORIYA LETTER RHA
0B94          ; NFD_QC; N # Lo       TAMIL LETTER AU
0BCA..0BCC    ; NFD_QC; N # Mc   [3] TAMIL VOWEL SIGN O..TAMIL VOWEL SIGN AU
0C48          ; NFD_QC; N # Mn       TELUGU VOWEL SIGN AI
0CC0          ; NFD_QC; N # Mc       KANNADA VOWEL SIGN II
0CC7..0CC8    ; NFD_QC; N # Mc   [2] KANNADA VOWEL SIGN EE..KANNADA VOWEL SIGN AI
0CCA..0CCB    ; NFD_QC; N # Mc   [2] KANNADA VOWEL SIGN O..KANNADA VOWEL SIGN OO
0D4A..0D4C    ; NFD_QC; N # Mc   [3] MALAYALAM VOWEL SIGN O..MALAYALAM VOWEL SIGN AU
0DDA          ; NFD_QC; N # Mc       SINHALA VOWEL SIGN DIGA KOMBUVA
0DDC..0DDE    ; NFD_QC; N # Mc   [3] SINHALA VOWEL SIGN KOMBUVA HAA AELA-PILLA..SINHALA VOWEL SIGN KOMBUVA HAA GAYANUKITTA
0F43          ; NFD_QC; N # Lo       TIBETAN LETTER GHA
0F4D          ; NFD_QC; N # Lo       TIBETAN LETTER DDHA
0F52          ; NFD_QC; N # Lo       TIBETAN LETTER DHA
0F57          ; NFD_QC; N # Lo       TIBETAN LETTER BHA
0F5C          ; NFD_QC; N # Lo       TIBETAN LETTER DZHA
0F69          ; NFD_QC; N # Lo       TIBETAN LETTER KSSA
0F73          ; NFD_QC; N # Mn       TIBETAN VOWEL SIGN II
0F75..0F76    ; NFD_QC; N # Mn   [2] TIBETAN VOWEL SIGN UU..TIBETAN VOWEL SIGN VOCALIC R
0F78          ; NFD_QC; N # Mn       TIBETAN VOWEL SIGN VOCALIC L
0F81          ; NFD_QC; N # Mn       TIBETAN VOWEL SIGN REVERSED II
0F93          ; NFD_QC; N # Mn       TIBETAN SUBJOINED LETTER GHA
0F9D          ; NFD_QC; N # Mn       TIBETAN SUBJOINED LETTER DDHA
0FA2          ; NFD_QC; N # Mn       TIBETAN SUBJOINED LETTER DHA
0FA7          ; NFD_QC; N # Mn       TIBETAN SUBJOINED LETTER BHA
0FAC          ; NFD_QC; N # Mn       TIBETAN SUBJOINED LETTER DZHA
0FB9          ; NFD_QC; N # Mn       TIBETAN SUBJOINED LETTER KSSA
1026          ; NFD_QC; N # Lo       MYANMAR LETTER UU
1E00..1E99    ; NFD_QC; N # L& [154] LATIN CAPITAL LETTER A WITH RING BELOW..LATIN SMALL LETTER Y WITH RING ABOVE
1E9B          ; NFD_QC; N # L&       LATIN SMALL LETTER LONG S WITH DOT ABOVE
1EA0..1EF9    ; NFD_QC; N # L&  [90] LATIN CAPITAL LETTER A WITH DOT BELOW..LATIN SMALL LETTER Y WITH TILDE
1F00..1F15    ; NFD_QC; N # L&  [22] GREEK SMALL LETTER ALPHA WITH PSILI..GREEK SMALL LETTER EPSILON WITH DASIA AND OXIA
1F18..1F1D    ; NFD_QC; N # L&   [6] GREEK CAPITAL LETTER EPSILON WITH PSILI..GREEK CAPITAL LETTER EPSILON WITH DASIA AND OXIA
1F20..1F45    ; NFD_QC; N # L&  [38] GREEK SMALL LETTER ETA WITH PSILI..GREEK SMALL LETTER OMICRON WITH DASIA AND OXIA
1F48..1F4D    ; NFD_QC; N # L&   [6] GREEK CAPITAL LETTER OMICRON WITH PSILI..GREEK CAPITAL LETTER OMICRON WITH DASIA AND OXIA
1F50..1F57    ; NFD_QC; N # L&   [8] GREEK SMALL LETTER UPSILON WITH PSILI..GREEK SMALL LETTER UPSILON WITH DASIA AND PERISPOMENI
1F59          ; NFD_QC; N # L&       GREEK CAPITAL LETTER UPSILON WITH DASIA
1F5B          ; NFD_QC; N # L&       GREEK CAPITAL LETTER UPSILON WITH DASIA AND VARIA
1F5D          ; NFD_QC; N # L&       GREEK CAPITAL LETTER UPSILON WITH DASIA AND OXIA
1F5F..1F7D    ; NFD_QC; N # L&  [31] GREEK CAPITAL LETTER UPSILON WITH DASIA AND PERISPOMENI..GREEK SMALL LETTER OMEGA WITH OXIA
1F80..1FB4    ; NFD_QC; N # L&  [53] GREEK SMALL LETTER ALPHA WITH PSILI AND YPOGEGRAMMENI..GREEK SMALL LETTER ALPHA WITH OXIA AND YPOGEGRAMMENI
1FB6..1FBC    ; NFD_QC; N # L&   [7] GREEK SMALL LETTER ALPHA WITH PERISPOMENI..GREEK CAPITAL LETTER ALPHA WITH PROSGEGRAMMENI
1FBE          ; NFD_QC; N # L&       GREEK PROSGEGRAMMENI
1FC1          ; NFD_QC; N # Sk       GREEK DIALYTIKA AND PERISPOMENI
1FC2..1FC4    ; NFD_QC; N # L&   [3] GREEK SMALL LETTER ETA WITH VARIA AND YPOGEGRAMMENI..GREEK SMALL LETTER ETA WITH OXIA AND YPOGEGRAMMENI
1FC6..1FCC    ; NFD_QC; N # L&   [7] GREEK SMALL LETTER ETA WITH PERISPOMENI..GREEK CAPITAL LETTER ETA WITH PROSGEGRAMMENI
1FCD..1FCF    ; NFD_QC; N # Sk   [3] GREEK PSILI AND VARIA..GREEK PSILI AND PERISPOMENI
1FD0..1FD3    ; NFD_QC; N # L&   [4] GREEK SMALL LETTER IOTA WITH VRACHY..GREEK SMALL LETTER IOTA WITH DIALYTIKA AND OXIA
1FD6..1FDB    ; NFD_QC; N # L&   [6] GREEK SMALL LETTER IOTA WITH PERISPOMENI..GREEK CAPITAL LETTER IOTA WITH OXIA
1FDD..1FDF    ; NFD_QC; N # Sk   [3] GREEK DASIA AND VARIA..GREEK DASIA AND PERISPOMENI
1FE0..1FEC    ; NFD_QC; N # L&  [13] GREEK SMALL LETTER UPSILON WITH VRACHY..GREEK CAPITAL LETTER RHO WITH DASIA
1FED..1FEF    ; NFD_QC; N # Sk   [3] GREEK DIALYTIKA AND VARIA..GREEK VARIA
1FF2..1FF4    ; NFD_QC; N # L&   [3] GREEK SMALL LETTER OMEGA WITH VARIA AND YPOGEGRAMMENI..GREEK SMALL LETTER OMEGA WITH OXIA AND YPOGEGRAMMENI
1FF6..1FFC    ; NFD_QC; N # L&   [7] GREEK SMALL LETTER OMEGA WITH PERISPOMENI..GREEK CAPITAL LETTER OMEGA WITH PROSGEGRAMMENI
1FFD          ; NFD_QC; N # Sk       GREEK OXIA
2000..2001    ; NFD_QC; N # Zs   [2] EN QUAD..EM QUAD
2126          ; NFD_QC; N # L&       OHM SIGN
212A..212B    ; NFD_QC; N # L&   [2] KELVIN SIGN..ANGSTROM SIGN
219A..219B    ; NFD_QC; N # Sm   [2] LEFTWARDS ARROW WITH STROKE..RIGHTWARDS ARROW WITH STROKE
21AE          ; NFD_QC; N # Sm       LEFT RIGHT ARROW WITH STROKE
21CD          ; NFD_QC; N # So       LEFTWARDS DOUBLE ARROW WITH STROKE
21CE..21CF    ; NFD_QC; N # Sm   [2] LEFT RIGHT DOUBLE ARROW WITH STROKE..RIGHTWARDS DOUBLE ARROW WITH STROKE
2204          ; NFD_QC; N # Sm       THERE DOES NOT EXIST
2209          ; NFD_QC; N # Sm       NOT AN ELEMENT OF
220C          ; NFD_QC; N # Sm       DOES NOT CONTAIN AS MEMBER
2224          ; NFD_QC; N # Sm       DOES NOT DIVIDE
2226          ; NFD_QC; N # Sm       NOT PARALLEL TO
2241          ; NFD_QC; N # Sm       NOT TILDE
2244          ; NFD_QC; N # Sm       NOT ASYMPTOTICALLY EQUAL TO
2247          ; NFD_QC; N # Sm       NEITHER APPROXIMATELY NOR ACTUALLY EQUAL TO
2249          ; NFD_QC; N # Sm       NOT ALMOST EQUAL TO
2260          ; NFD_QC; N # Sm       NOT EQUAL TO
2262          ; NFD_QC; N # Sm       NOT IDENTICAL TO
226D..2271    ; NFD_QC; N # Sm   [5] NOT EQUIVALENT TO..NEITHER GREATER-THAN NOR EQUAL TO
2274..2275    ; NFD_QC; N # Sm   [2] NEITHER LESS-THAN NOR EQUIVALENT TO..NEITHER GREATER-THAN NOR EQUIVALENT TO
2278..2279    ; NFD_QC; N # Sm   [2] NEITHER LESS-THAN NOR GREATER-THAN..NEITHER GREATER-THAN NOR LESS-THAN
2280..2281    ; NFD_QC; N # Sm   [2] DOES NOT PRECEDE..DOES NOT SUCCEED
2284..2285    ; NFD_QC; N # Sm   [2] NOT A SUBSET OF..NOT A SUPERSET OF
2288..2289    ; NFD_QC; N # Sm   [2] NEITHER A SUBSET OF NOR EQUAL TO..NEITHER A SUPERSET OF NOR EQUAL TO
22AC..22AF    ; NFD_QC; N # Sm   [4] DOES NOT PROVE..NEGATED DOUBLE VERTICAL BAR DOUBLE RIGHT TURNSTILE
22E0..22E3    ; NFD_QC; N # Sm   [4] DOES NOT PRECEDE OR EQUAL..NOT SQUARE ORIGINAL OF OR EQUAL TO
22EA..22ED    ; NFD_QC; N # Sm   [4] NOT NORMAL SUBGROUP OF..DOES NOT CONTAIN AS NORMAL SUBGROUP OR EQUAL
2329          ; NFD_QC; N # Ps       LEFT-POINTING ANGLE BRACKET
232A          ; NFD_QC; N # Pe       RIGHT-POINTING ANGLE BRACKET
2ADC          ; NFD_QC; N # Sm       FORKING
304C          ; NFD_QC; N # Lo       HIRAGANA LETTER GA
304E          ; NFD_QC; N # Lo       HIRAGANA LETTER GI
3050          ; NFD_QC; N # Lo       HIRAGANA LETTER GU
3052          ; NFD_QC; N # Lo       HIRAGANA LETTER GE
3054          ; NFD_QC; N # Lo       HIRAGANA LETTER GO
3056          ; NFD_QC; N # Lo       HIRAGANA LETTER ZA
3058          ; NFD_QC; N # Lo       HIRAGANA LETTER ZI
305A          ; NFD_QC; N # Lo       HIRAGANA LETTER ZU
305C          ; NFD_QC; N # Lo       HIRAGANA LETTER ZE
305E          ; NFD_QC; N # Lo       HIRAGANA LETTER ZO
3060          ; NFD_QC; N # Lo       HIRAGANA LETTER DA
3062          ; NFD_QC; N # Lo       HIRAGANA LETTER DI
3065          ; NFD_QC; N # Lo       HIRAGANA LETTER DU
3067          ; NFD_QC; N # Lo       HIRAGANA LETTER DE
3069          ; NFD_QC; N # Lo       HIRAGANA LETTER DO
3070..3071    ; NFD_QC; N # Lo   [2] HIRAGANA LETTER BA..HIRAGANA LETTER PA
3073..3074    ; NFD_QC; N # Lo   [2] HIRAGANA LETTER BI..HIRAGANA LETTER PI
3076..3077    ; NFD_QC; N # Lo   [2] HIRAGANA LETTER BU..HIRAGANA LETTER PU
3079..307A    ; NFD_QC; N # Lo   [2] HIRAGANA LETTER BE..HIRAGANA LETTER PE
307C..307D    ; NFD_QC; N # Lo   [2] HIRAGANA LETTER BO..HIRAGANA LETTER PO
3094          ; NFD_QC; N # Lo       HIRAGANA LETTER VU
309E          ; NFD_QC; N # Lm       HIRAGANA VOICED ITERATION MARK
30AC          ; NFD_QC; N # Lo       KATAKANA LETTER GA
30AE          ; NFD_QC; N # Lo       KATAKANA LETTER GI
30B0          ; NFD_QC; N # Lo       KATAKANA LETTER GU
30B2          ; NFD_QC; N # Lo       KATAKANA LETTER GE
30B4          ; NFD_QC; N # Lo       KATAKANA LETTER GO
30B6          ; NFD_QC; N # Lo       KATAKANA LETTER ZA
30B8          ; NFD_QC; N # Lo       KATAKANA LETTER ZI
30BA          ; NFD_QC; N # Lo       KATAKANA LETTER ZU
30BC          ; NFD_QC; N # Lo       KATAKANA LETTER ZE
30BE          ; NFD_QC; N # Lo       KATAKANA LETTER ZO
30C0          ; NFD_QC; N # Lo       KATAKANA LETTER DA
30C2          ; NFD_QC; N # Lo       KATAKANA LETTER DI
30C5          ; NFD_QC; N # Lo       KATAKANA LETTER DU
30C7          ; NFD_QC; N # Lo       KATAKANA LETTER DE
30C9          ; NFD_QC; N # Lo       KATAKANA LETTER DO
30D0..30D1    ; NFD_QC; N # Lo   [2] KATAKANA LETTER BA..KATAKANA LETTER PA
30D3..30D4    ; NFD_QC; N # Lo   [2] KATAKANA LETTER BI..KATAKANA LETTER PI
30D6..30D7    ; NFD_QC; N # Lo   [2] KATAKANA LETTER BU..KATAKANA LETTER PU
30D9..30DA    ; NFD_QC; N # Lo   [2] KATAKANA LETTER BE..KATAKANA LETTER PE
30DC..30DD    ; NFD_QC; N # Lo   [2] KATAKANA LETTER BO..KATAKANA LETTER PO
30F4          ; NFD_QC; N # Lo       KATAKANA LETTER VU
30F7..30FA    ; NFD_QC; N # Lo   [4] KATAKANA LETTER VA..KATAKANA LETTER VO
30FE          ; NFD_QC; N # Lm       KATAKANA VOICED ITERATION MARK
AC00..D7A3    ; NFD_QC; N # Lo [11172] HANGUL SYLLABLE GA..HANGUL SYLLABLE HIH
F900..FA0D    ; NFD_QC; N # Lo [270] CJK COMPATIBILITY IDEOGRAPH-F900..CJK COMPATIBILITY IDEOGRAPH-FA0D
FA10          ; NFD_QC; N # Lo       CJK COMPATIBILITY IDEOGRAPH-FA10
FA12          ; NFD_QC; N # Lo       CJK COMPATIBILITY IDEOGRAPH-FA12
FA15..FA1E    ; NFD_QC; N # Lo  [10] CJK COMPATIBILITY IDEOGRAPH-FA15..CJK COMPATIBILITY IDEOGRAPH-FA1E
FA20          ; NFD_QC; N # Lo       CJK COMPATIBILITY IDEOGRAPH-FA20
FA22          ; NFD_QC; N # Lo       CJK COMPATIBILITY IDEOGRAPH-FA22
FA25..FA26    ; NFD_QC; N # Lo   [2] CJK COMPATIBILITY IDEOGRAPH-FA25..CJK COMPATIBILITY IDEOGRAPH-FA26
FA2A..FA2D    ; NFD_QC; N # Lo   [4] CJK COMPATIBILITY IDEOGRAPH-FA2A..CJK COMPATIBILITY IDEOGRAPH-FA2D
FA30..FA6A    ; NFD_QC; N # Lo  [59] CJK COMPATIBILITY IDEOGRAPH-FA30..CJK COMPATIBILITY IDEOGRAPH-FA6A
FB1D          ; NFD_QC; N # Lo       HEBREW LETTER YOD WITH HIRIQ
FB1F          ; NFD_QC; N # Lo       HEBREW LIGATURE YIDDISH YOD YOD PATAH
FB2A..FB36    ; NFD_QC; N # Lo  [13] HEBREW LETTER SHIN WITH SHIN DOT..HEBREW LETTER ZAYIN WITH DAGESH
FB38..FB3C    ; NFD_QC; N # Lo   [5] HEBREW LETTER TET WITH DAGESH..HEBREW LETTER LAMED WITH DAGESH
FB3E          ; NFD_QC; N # Lo       HEBREW LETTER MEM WITH DAGESH
FB40..FB41    ; NFD_QC; N # Lo   [2] HEBREW LETTER NUN WITH DAGESH..HEBREW LETTER SAMEKH WITH DAGESH
FB43..FB44    ; NFD_QC; N # Lo   [2] HEBREW LETTER FINAL PE WITH DAGESH..HEBREW LETTER PE WITH DAGESH
FB46..FB4E    ; NFD_QC; N # Lo   [9] HEBREW LETTER TSADI WITH DAGESH..HEBREW LETTER PE WITH RAFE
1D15E..1D164  ; NFD_QC; N # So   [7] MUSICAL SYMBOL HALF NOTE..MUSICAL SYMBOL ONE HUNDRED TWENTY-EIGHTH NOTE
1D1BB..1D1C0  ; NFD_QC; N # So   [6] MUSICAL SYMBOL MINIMA..MUSICAL SYMBOL FUSA BLACK
2F800..2FA1D  ; NFD_QC; N # Lo [542] CJK COMPATIBILITY IDEOGRAPH-2F800..CJK COMPATIBILITY IDEOGRAPH-2FA1D

# Total code points: 13098

# ================================================

# Property:	NFC_Quick_Check

#  All code points not explicitly listed for NFC_Quick_Check
#  have the value Yes (Y).

# ================================================

# NFC_Quick_Check=No

0340..0341    ; NFC_QC; N # Mn   [2] COMBINING GRAVE TONE MARK..COMBINING ACUTE TONE MARK
0343..0344    ; NFC_QC; N # Mn   [2] COMBINING GREEK KORONIS..COMBINING GREEK DIALYTIKA TONOS
0374          ; NFC_QC; N # Sk       GREEK NUMERAL SIGN
037E          ; NFC_QC; N # Po       GREEK QUESTION MARK
0387          ; NFC_QC; N # Po       GREEK ANO TELEIA
0958..095F    ; NFC_QC; N # Lo   [8] DEVANAGARI LETTER QA..DEVANAGARI LETTER YYA
09DC..09DD    ; NFC_QC; N # Lo   [2] BENGALI LETTER RRA..BENGALI LETTER RHA
09DF          ; NFC_QC; N # Lo       BENGALI LETTER YYA
0A33          ; NFC_QC; N # Lo       GURMUKHI LETTER LLA
0A36          ; NFC_QC; N # Lo       GURMUKHI LETTER SHA
0A59..0A5B    ; NFC_QC; N # Lo   [3] GURMUKHI LETTER KHHA..GURMUKHI LETTER ZA
0A5E          ; NFC_QC; N # Lo       GURMUKHI LETTER FA
0B5C..0B5D    ; NFC_QC; N # Lo   [2] ORIYA LETTER RRA..ORIYA LETTER RHA
0F43          ; NFC_QC; N # Lo       TIBETAN LETTER GHA
0F4D          ; NFC_QC; N # Lo       TIBETAN LETTER DDHA
0F52          ; NFC_QC; N # Lo       TIBETAN LETTER DHA
0F57          ; NFC_QC; N # Lo       TIBETAN LETTER BHA
0F5C          ; NFC_QC; N # Lo       TIBETAN LETTER DZHA
0F69          ; NFC_QC; N # Lo       TIBETAN LETTER KSSA
0F73          ; NFC_QC; N # Mn       TIBETAN VOWEL SIGN II
0F75..0F76    ; NFC_QC; N # Mn   [2] TIBETAN VOWEL SIGN UU..TIBETAN VOWEL SIGN VOCALIC R
0F78          ; NFC_QC; N # Mn       TIBETAN VOWEL SIGN VOCALIC L
0F81          ; NFC_QC; N # Mn       TIBETAN VOWEL SIGN REVERSED II
0F93          ; NFC_QC; N # Mn       TIBETAN SUBJOINED LETTER GHA
0F9D          ; NFC_QC; N # Mn       TIBETAN SUBJOINED LETTER DDHA
0FA2          ; NFC_QC; N # Mn       TIBETAN SUBJOINED LETTER DHA
0FA7          ; NFC_QC; N # Mn       TIBETAN SUBJOINED LETTER BHA
0FAC          ; NFC_QC; N # Mn       TIBETAN SUBJOINED LETTER DZHA
0FB9          ; NFC_QC; N # Mn       TIBETAN SUBJOINED LETTER KSSA
1F71          ; NFC_QC; N # L&       GREEK SMALL LETTER ALPHA WITH OXIA
1F73          ; NFC_QC; N # L&       GREEK SMALL LETTER EPSILON WITH OXIA
1F75          ; NFC_QC; N # L&       GREEK SMALL LETTER ETA WITH OXIA
1F77          ; NFC_QC; N # L&       GREEK SMALL LETTER IOTA WITH OXIA
1F79          ; NFC_QC; N # L&       GREEK SMALL LETTER OMICRON WITH OXIA
1F7B          ; NFC_QC; N # L&       GREEK SMALL LETTER UPSILON WITH OXIA
1F7D          ; NFC_QC; N # L&       GREEK SMALL LETTER OMEGA WITH OXIA
1FBB          ; NFC_QC; N # L&       GREEK CAPITAL LETTER ALPHA WITH OXIA
1FBE          ; NFC_QC; N # L&       GREEK PROSGEGRAMMENI
1FC9          ; NFC_QC; N # L&       GREEK CAPITAL LETTER EPSILON WITH OXIA
1FCB          ; NFC_QC; N # L&       GREEK CAPITAL LETTER ETA WITH OXIA
1FD3          ; NFC_QC; N # L&       GREEK SMALL LETTER IOTA WITH DIALYTIKA AND OXIA
1FDB          ; NFC_QC; N # L&       GREEK CAPITAL LETTER IOTA WITH OXIA
1FE3          ; NFC_QC; N # L&       GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND OXIA
1FEB          ; NFC_QC; N # L&       GREEK CAPITAL LETTER UPSILON WITH OXIA
1FEE..1FEF    ; NFC_QC; N # Sk   [2] GREEK DIALYTIKA AND OXIA..GREEK VARIA
1FF9          ; NFC_QC; N # L&       GREEK CAPITAL LETTER OMICRON WITH OXIA
1FFB          ; NFC_QC; N # L&       GREEK CAPITAL LETTER OMEGA WITH OXIA
1FFD          ; NFC_QC; N # Sk       GREEK OXIA
2000..2001    ; NFC_QC; N # Zs   [2] EN QUAD..EM QUAD
2126          ; NFC_QC; N # L&       OHM SIGN
212A..212B    ; NFC_QC; N # L&   [2] KELVIN SIGN..ANGSTROM SIGN
2329          ; NFC_QC; N # Ps       LEFT-POINTING ANGLE BRACKET
232A          ; NFC_QC; N # Pe       RIGHT-POINTING ANGLE BRACKET
2ADC          ; NFC_QC; N # Sm       FORKING
