# SPDX-License-Identifier: CC0-1.0
# Generator: x86-cpuid-db v2.4

#
# Auto-generated file.
# Please submit all updates and bugfixes to https://x86-cpuid.org
#

# The basic row format is:
#     LEAF, SUBLEAVES,  reg,    bits,    short_name             , long_description

# Leaf 0H
# Maximum standard leaf number + CPU vendor string

       0x0,         0,  eax,    31:0,    max_std_leaf           , Highest standard CPUID leaf supported
      0x10,         0,  ebx,       2,    cat_l2                 , L2 Cache Allocation Technology supported
      0x10,         0,  ebx,       3,    mba                    , Memory Bandwidth Allocation supported
      0x10,       2:1,  eax,     4:0,    cat_cbm_len            , L3/L2_CAT capacity bitmask length, minus-one notation
      0x10,       2:1,  ebx,    31:0,    cat_units_bitmap       , L3/L2_CAT bitmap of allocation units
      0x10,       2:1,  ecx,       1,    l3_cat_cos_infreq_updates, L3_CAT COS updates should be infrequent
      0x10,       2:1,  ecx,       2,    cdp_l3                 , L3/L2_CAT CDP (Code and Data Prioritization)
      0x10,       2:1,  ecx,       3,    cat_sparse_1s          , L3/L2_CAT non-contiguous 1s value supported
      0x10,       2:1,  edx,    15:0,    cat_cos_max            , L3/L2_CAT max COS (Class of Service) supported
      0x10,         3,  eax,    11:0,    mba_max_delay          , Max MBA throttling value; minus-one notation
      0x10,         3,  ecx,       0,    per_thread_mba         , Per-thread MBA controls are supported
      0x10,         3,  ecx,       2,    mba_delay_linear       , Delay values are linear
      0x10,         3,  edx,    15:0,    mba_cos_max            , MBA max Class of Service supported

# Leaf 12H
# Intel Software Guard Extensions (SGX) enumeration

      0x12,         0,  eax,       0,    sgx1                   , SGX1 leaf functions supported
      0x12,         0,  eax,       1,    sgx2                   , SGX2 leaf functions supported
      0x12,         0,  eax,       5,    enclv_leaves           , ENCLV leaves (E{INC,DEC}VIRTCHILD, ESETCONTEXT) supported
      0x12,         0,  eax,       6,    encls_leaves           , ENCLS leaves (ENCLS ETRACKC, ERDINFO, ELDBC, ELDUC) supported
      0x12,         0,  eax,       7,    enclu_everifyreport2   , ENCLU leaf EVERIFYREPORT2 supported
      0x12,         0,  eax,      10,    encls_eupdatesvn       , ENCLS leaf EUPDATESVN supported
      0x12,         0,  eax,      11,    sgx_edeccssa           , ENCLU leaf EDECCSSA supported
      0x12,         0,  ebx,       0,    miscselect_exinfo      , SSA.MISC frame: reporting #PF and #GP exceptions inside enclave supported
      0x12,         0,  ebx,       1,    miscselect_cpinfo      , SSA.MISC frame: reporting #CP exceptions inside enclave supported
      0x12,         0,  edx,     7:0,    max_enclave_sz_not64   , Maximum enclave size in non-64-bit mode (log2)
      0x12,         0,  edx,    15:8,    max_enclave_sz_64      , Maximum enclave size in 64-bit mode (log2)
      0x12,         1,  eax,       0,    secs_attr_init         , ATTRIBUTES.INIT supported (enclave initialized by EINIT)
      0x12,         1,  eax,       1,    secs_attr_debug        , ATTRIBUTES.DEBUG supported (enclave permits debugger read/write)
      0x12,         1,  eax,       2,    secs_attr_mode64bit    , ATTRIBUTES.MODE64BIT supported (enclave runs in 64-bit mode)
      0x12,         1,  eax,       4,    secs_attr_provisionkey , ATTRIBUTES.PROVISIONKEY supported (provisioning key available)
      0x12,         1,  eax,       5,    secs_attr_einittoken_key, ATTRIBUTES.EINITTOKEN_KEY supported (EINIT token key available)
      0x12,         1,  eax,       6,    secs_attr_cet          , ATTRIBUTES.CET supported (enable CET attributes)
      0x12,         1,  eax,       7,    secs_attr_kss          , ATTRIBUTES.KSS supported (Key Separation and Sharing enabled)
      0x12,         1,  eax,      10,    secs_attr_aexnotify    , ATTRIBUTES.AEXNOTIFY supported (enclave threads may get AEX notifications
      0x12,         1,  ecx,       0,    xfrm_x87               , Enclave XFRM.X87 (bit 0) supported
      0x12,         1,  ecx,       1,    xfrm_sse               , Enclave XFRM.SEE (bit 1) supported
      0x12,         1,  ecx,       2,    xfrm_avx               , Enclave XFRM.AVX (bit 2) supported
      0x12,         1,  ecx,       3,    xfrm_mpx_bndregs       , Enclave XFRM.BNDREGS (bit 3) supported (MPX BND0-BND3 registers)
      0x12,         1,  ecx,       4,    xfrm_mpx_bndcsr        , Enclave XFRM.BNDCSR (bit 4) supported (MPX BNDCFGU/BNDSTATUS registers)
      0x12,         1,  ecx,       5,    xfrm_avx512_opmask     , Enclave XFRM.OPMASK (bit 5) supported (AVX-512 k0-k7 registers)
      0x12,         1,  ecx,       6,    xfrm_avx512_zmm_hi256  , Enclave XFRM.ZMM_Hi256 (bit 6) supported (AVX-512 ZMM0->ZMM7/15 registers)
      0x12,         1,  ecx,       7,    xfrm_avx512_hi16_zmm   , Enclave XFRM.HI16_ZMM (bit 7) supported (AVX-512 ZMM16->ZMM31 registers)
      0x12,         1,  ecx,       9,    xfrm_pkru              , Enclave XFRM.PKRU (bit 9) supported (XSAVE PKRU registers)
      0x12,         1,  ecx,      17,    xfrm_tileconfig        , Enclave XFRM.TILECONFIG (bit 17) supported (AMX can manage TILECONFIG)
      0x12,         1,  ecx,      18,    xfrm_tiledata          , Enclave XFRM.TILEDATA (bit 18) supported (AMX can manage TILEDATA)
      0x12,      31:2,  eax,     3:0,    subleaf_type           , Subleaf type (dictates output layout)
      0x12,      31:2,  eax,   31:12,    epc_sec_base_addr_0    , EPC section base address, bits[12:31]
      0x12,      31:2,  ebx,    19:0,    epc_sec_base_addr_1    , EPC section base address, bits[32:51]
      0x12,      31:2,  ecx,     3:0,    epc_sec_type           , EPC section type / property encoding
      0x12,      31:2,  ecx,   31:12,    epc_sec_size_0         , EPC section size, bits[12:31]
      0x12,      31:2,  edx,    19:0,    epc_sec_size_1         , EPC section size, bits[32:51]

# Leaf 14H
# Intel Processor Trace enumeration

      0x14,         0,  eax,    31:0,    pt_max_subleaf         , Maximum leaf 0x14 subleaf
      0x14,         0,  ebx,       0,    cr3_filtering          , IA32_RTIT_CR3_MATCH is accessible
      0x14,         0,  ebx,       1,    psb_cyc                , Configurable PSB and cycle-accurate mode
      0x14,         0,  ebx,       2,    ip_filtering           , IP/TraceStop filtering; Warm-reset PT MSRs preservation
      0x14,         0,  ebx,       3,    mtc_timing             , MTC timing packet; COFI-based packets suppression
      0x14,         0,  ebx,       4,    ptwrite                , PTWRITE support
      0x14,         0,  ebx,       5,    power_event_trace      , Power Event Trace support
      0x14,         0,  ebx,       6,    psb_pmi_preserve       , PSB and PMI preservation support
      0x14,         0,  ebx,       7,    event_trace            , Event Trace packet generation through IA32_RTIT_CTL.EventEn
      0x14,         0,  ebx,       8,    tnt_disable            , TNT packet generation disable through IA32_RTIT_CTL.DisTNT
      0x14,         0,  ecx,       0,    topa_output            , ToPA output scheme support
      0x14,         0,  ecx,       1,    topa_multiple_entries  , ToPA tables can hold multiple entries
      0x14,         0,  ecx,       2,    single_range_output    , Single-range output scheme supported
      0x14,         0,  ecx,       3,    trance_transport_output, Trace Transport subsystem output support
      0x14,         0,  ecx,      31,    ip_payloads_lip        , IP payloads have LIP values (CS base included)
      0x14,         1,  eax,     2:0,    num_address_ranges     , Filtering number of configurable Address Ranges
      0x14,         1,  eax,   31:16,    mtc_periods_bmp        , Bitmap of supported MTC period encodings
      0x14,         1,  ebx,    15:0,    cycle_thresholds_bmp   , Bitmap of supported Cycle Threshold encodings
      0x14,         1,  ebx,   31:16,    psb_periods_bmp        , Bitmap of supported Configurable PSB frequency encodings

# Leaf 15H
# Intel TSC (Time Stamp Counter) enumeration

      0x15,         0,  eax,    31:0,    tsc_denominator        , Denominator of the TSC/'core crystal clock' ratio
      0x15,         0,  ebx,    31:0,    tsc_numerator          , Numerator of the TSC/'core crystal clock' ratio
      0x15,         0,  ecx,    31:0,    cpu_crystal_hz         , Core crystal clock nominal frequency, in Hz

# Leaf 16H
# Intel processor frequency enumeration

      0x16,         0,  eax,    15:0,    cpu_base_mhz           , Processor base frequency, in MHz
      0x16,         0,  ebx,    15:0,    cpu_max_mhz            , Processor max frequency, in MHz
      0x16,         0,  ecx,    15:0,    bus_mhz                , Bus reference frequency, in MHz

# Leaf 17H
# Intel SoC vendor attributes enumeration

      0x17,         0,  eax,    31:0,    soc_max_subleaf        , Maximum leaf 0x17 subleaf
      0x17,         0,  ebx,    15:0,    soc_vendor_id          , SoC vendor ID
      0x17,         0,  ebx,      16,    is_vendor_scheme       , Assigned by industry enumeration scheme (not Intel)
      0x17,         0,  ecx,    31:0,    soc_proj_id            , SoC project ID, assigned by vendor
      0x17,         0,  edx,    31:0,    soc_stepping_id        , Soc project stepping ID, assigned by vendor
      0x17,       3:1,  eax,    31:0,    vendor_brand_a         , Vendor Brand ID string, bytes subleaf_nr * (0 -> 3)
      0x17,       3:1,  ebx,    31:0,    vendor_brand_b         , Vendor Brand ID string, bytes subleaf_nr * (4 -> 7)
      0x17,       3:1,  ecx,    31:0,    vendor_brand_c         , Vendor Brand ID string, bytes subleaf_nr * (8 -> 11)
      0x17,       3:1,  edx,    31:0,    vendor_brand_d         , Vendor Brand ID string, bytes subleaf_nr * (12 -> 15)

# Leaf 18H
# Intel determenestic address translation (TLB) parameters

      0x18,      31:0,  eax,    31:0,    tlb_max_subleaf        , Maximum leaf 0x18 subleaf
      0x18,      31:0,  ebx,       0,    tlb_4k_page            , TLB 4KB-page entries supported
      0x18,      31:0,  ebx,       1,    tlb_2m_page            , TLB 2MB-page entries supported
      0x18,      31:0,  ebx,       2,    tlb_4m_page            , TLB 4MB-page entries supported
      0x18,      31:0,  ebx,       3,    tlb_1g_page            , TLB 1GB-page entries supported
      0x18,      31:0,  ebx,    10:8,    hard_partitioning      , (Hard/Soft) partitioning between logical CPUs sharing this structure
      0x18,      31:0,  ebx,   31:16,    n_way_associative      , Ways of associativity
      0x18,      31:0,  ecx,    31:0,    n_sets                 , Number of sets
      0x18,      31:0,  edx,     4:0,    tlb_type               , Translation cache type (TLB type)
      0x18,      31:0,  edx,     7:5,    tlb_cache_level        , Translation cache level (1-based)
      0x18,      31:0,  edx,       8,    is_fully_associative   , Fully-associative structure
      0x18,      31:0,  edx,   25:14,    tlb_max_addressible_ids, Max number of addressable IDs for logical CPUs sharing this TLB - 1

# Leaf 19H
# Intel Key Locker enumeration

      0x19,         0,  eax,       0,    kl_cpl0_only           , CPL0-only key Locker restriction supported
      0x19,         0,  eax,       1,    kl_no_encrypt          , No-encrypt key locker restriction supported
      0x19,         0,  eax,       2,    kl_no_decrypt          , No-decrypt key locker restriction supported
      0x19,         0,  ebx,       0,    aes_keylocker          , AES key locker instructions supported
      0x19,         0,  ebx,       2,    aes_keylocker_wide     , AES wide key locker instructions supported
      0x19,         0,  ebx,       4,    kl_msr_iwkey           , Key locker MSRs and IWKEY backups supported
      0x19,         0,  ecx,       0,    loadiwkey_no_backup    , LOADIWKEY NoBackup parameter supported
      0x19,         0,  ecx,       1,    iwkey_rand             , IWKEY randomization (KeySource encoding 1) supported

# Leaf 1AH
# Intel hybrid CPUs identification (e.g. Atom, Core)

      0x1a,         0,  eax,    23:0,    core_native_model      , This core's native model ID
      0x1a,         0,  eax,   31:24,    core_type              , This core's type

# Leaf 1BH
# Intel PCONFIG (Platform configuration) enumeration

      0x1b,      31:0,  eax,    11:0,    pconfig_subleaf_type   , CPUID 0x1b subleaf type
      0x1b,      31:0,  ebx,    31:0,    pconfig_target_id_x    , A supported PCONFIG target ID
      0x1b,      31:0,  ecx,    31:0,    pconfig_target_id_y    , A supported PCONFIG target ID
      0x1b,      31:0,  edx,    31:0,    pconfig_target_id_z    , A supported PCONFIG target ID

# Leaf 1CH
# Intel LBR (Last Branch Record) enumeration

      0x1c,         0,  eax,       0,    lbr_depth_8            , Max stack depth (number of LBR entries) = 8
      0x1c,         0,  eax,       1,    lbr_depth_16           , Max stack depth (number of LBR entries) = 16
      0x1c,         0,  eax,       2,    lbr_depth_24           , Max stack depth (number of LBR entries) = 24
      0x1c,         0,  eax,       3,    lbr_depth_32           , Max stack depth (number of LBR entries) = 32
      0x1c,         0,  eax,       4,    lbr_depth_40           , Max stack depth (number of LBR entries) = 40
      0x1c,         0,  eax,       5,    lbr_depth_48           , Max stack depth (number of LBR entries) = 48
      0x1c,         0,  eax,       6,    lbr_depth_56           , Max stack depth (number of LBR entries) = 56
      0x1c,         0,  eax,       7,    lbr_depth_64           , Max stack depth (number of LBR entries) = 64
      0x1c,         0,  eax,      30,    lbr_deep_c_reset       , LBRs maybe cleared on MWAIT C-state > C1
      0x1c,         0,  eax,      31,    lbr_ip_is_lip          , LBR IP contain Last IP, otherwise effective IP
      0x1c,         0,  ebx,       0,    lbr_cpl                , CPL filtering (non-zero IA32_LBR_CTL[2:1]) supported
      0x1c,         0,  ebx,       1,    lbr_branch_filter      , Branch filtering (non-zero IA32_LBR_CTL[22:16]) supported
      0x1c,         0,  ebx,       2,    lbr_call_stack         , Call-stack mode (IA32_LBR_CTL[3] = 1) supported
      0x1c,         0,  ecx,       0,    lbr_mispredict         , Branch misprediction bit supported (IA32_LBR_x_INFO[63])
      0x1c,         0,  ecx,       1,    lbr_timed_lbr          , Timed LBRs (CPU cycles since last LBR entry) supported
      0x1c,         0,  ecx,       2,    lbr_branch_type        , Branch type field (IA32_LBR_INFO_x[59:56]) supported
      0x1c,         0,  ecx,   19:16,    lbr_events_gpc_bmp     , LBR PMU-events logging support; bitmap for first 4 GP (general-purpose) Counters

# Leaf 1DH
# Intel AMX (Advanced Matrix Extensions) tile information

      0x1d,         0,  eax,    31:0,    amx_max_palette        , Highest palette ID / subleaf ID
      0x1d,         1,  eax,    15:0,    amx_palette_size       , AMX palette total tiles size, in bytes
      0x1d,         1,  eax,   31:16,    amx_tile_size          , AMX single tile's size, in bytes
      0x1d,         1,  ebx,    15:0,    amx_tile_row_size      , AMX tile single row's size, in bytes
      0x1d,         1,  ebx,   31:16,    amx_palette_nr_tiles   , AMX palette number of tiles
      0x1d,         1,  ecx,    15:0,    amx_tile_nr_rows       , AMX tile max number of rows

# Leaf 1EH
# Intel AMX, TMUL (Tile-matrix MULtiply) accelerator unit enumeration

      0x1e,         0,  ebx,     7:0,    tmul_maxk              , TMUL unit maximum height, K (rows or columns)
      0x1e,         0,  ebx,    23:8,    tmul_maxn              , TMUL unit maximum SIMD dimension, N (column bytes)

# Leaf 1FH
# Intel extended topology enumeration v2

      0x1f,       5:0,  eax,     4:0,    x2apic_id_shift        , Bit width of this level (previous levels inclusive)
      0x1f,       5:0,  ebx,    15:0,    domain_lcpus_count     , Logical CPUs count across all instances of this domain
      0x1f,       5:0,  ecx,     7:0,    domain_level           , This domain level (subleaf ID)
      0x1f,       5:0,  ecx,    15:8,    domain_type            , This domain type
      0x1f,       5:0,  edx,    31:0,    x2apic_id              , x2APIC ID of current logical CPU

# Leaf 20H
# Intel HRESET (History Reset) enumeration

      0x20,         0,  eax,    31:0,    hreset_nr_subleaves    , CPUID 0x20 max subleaf + 1
      0x20,         0,  ebx,       0,    hreset_thread_director , HRESET of Intel thread director is supported

# Leaf 21H
# Intel TD (Trust Domain) guest execution environment enumeration

      0x21,         0,  ebx,    31:0,    tdx_vendorid_0         , TDX vendor ID string bytes 0 - 3
      0x21,         0,  ecx,    31:0,    tdx_vendorid_2         , CPU vendor ID string bytes 8 - 11
      0x21,         0,  edx,    31:0,    tdx_vendorid_1         , CPU vendor ID string bytes 4 - 7

# Leaf 23H
# Intel Architectural Performance Monitoring Extended (ArchPerfmonExt)

      0x23,         0,  eax,       1,    subleaf_1_counters     , Subleaf 1, PMU counters bitmaps, is valid
      0x23,         0,  eax,       3,    subleaf_3_events       , Subleaf 3, PMU events bitmaps, is valid
      0x23,         0,  ebx,       0,    unitmask2              , IA32_PERFEVTSELx MSRs UnitMask2 is supported
      0x23,         0,  ebx,       1,    zbit                   , IA32_PERFEVTSELx MSRs Z-bit is supported
      0x23,         1,  eax,    31:0,    pmu_gp_counters_bitmap , General-purpose PMU counters bitmap
      0x23,         1,  ebx,    31:0,    pmu_f_counters_bitmap  , Fixed PMU counters bitmap
      0x23,         3,  eax,       0,    core_cycles_evt        , Core cycles event supported
      0x23,         3,  eax,       1,    insn_retired_evt       , Instructions retired event supported
      0x23,         3,  eax,       2,    ref_cycles_evt         , Reference cycles event supported
      0x23,         3,  eax,       3,    llc_refs_evt           , Last-level cache references event supported
      0x23,         3,  eax,       4,    llc_misses_evt         , Last-level cache misses event supported
      0x23,         3,  eax,       5,    br_insn_ret_evt        , Branch instruction retired event supported
      0x23,         3,  eax,       6,    br_mispr_evt           , Branch mispredict retired event supported
      0x23,         3,  eax,       7,    td_slots_evt           , Topdown slots event supported
      0x23,         3,  eax,       8,    td_backend_bound_evt   , Topdown backend bound event supported
      0x23,         3,  eax,       9,    td_bad_spec_evt        , Topdown bad speculation event supported
      0x23,         3,  eax,      10,    td_frontend_bound_evt  , Topdown frontend bound event supported
      0x23,         3,  eax,      11,    td_retiring_evt        , Topdown retiring event support

# Leaf 40000000H
# Maximum hypervisor standard leaf + hypervisor vendor string

0x40000000,         0,  eax,    31:0,    max_hyp_leaf           , Maximum hypervisor standard leaf number
0x40000000,         0,  ebx,    31:0,    hypervisor_id_0        , Hypervisor ID string bytes 0 - 3
0x40000000,         0,  ecx,    31:0,    hypervisor_id_1        , Hypervisor ID string bytes 4 - 7
0x40000000,         0,  edx,    31:0,    hypervisor_id_2        , Hypervisor ID string bytes 8 - 11

# Leaf 80000000H
# Maximum extended leaf number + AMD/Transmeta CPU vendor string

0x80000000,         0,  eax,    31:0,    max_ext_leaf           , Maximum extended CPUID leaf supported
0x80000000,         0,  ebx,    31:0,    cpu_vendorid_0         , Vendor ID string bytes 0 - 3
0x80000000,         0,  ecx,    31:0,    cpu_vendorid_2         , Vendor ID string bytes 8 - 11
0x80000000,         0,  edx,    31:0,    cpu_vendorid_1         , Vendor ID string bytes 4 - 7

# Leaf 80000001H
# Extended CPU feature identifiers

0x80000001,         0,  eax,     3:0,    e_stepping_id          , Stepping ID
0x80000001,         0,  eax,     7:4,    e_base_model           , Base processor model
0x80000001,         0,  eax,    11:8,    e_base_family          , Base processor family
0x80000001,         0,  eax,   13:12,    e_base_type            , Base processor type (Transmeta)
0x80000001,         0,  eax,   19:16,    e_ext_model            , Extended processor model
0x80000001,         0,  eax,   27:20,    e_ext_family           , Extended processor family
0x80000001,         0,  ebx,    15:0,    brand_id               , Brand ID
0x80000001,         0,  ebx,   31:28,    pkg_type               , Package type
0x80000001,         0,  ecx,       0,    lahf_lm                , LAHF and SAHF in 64-bit mode
0x80000001,         0,  ecx,       1,    cmp_legacy             , Multi-processing legacy mode (No HT)
0x80000001,         0,  ecx,       2,    svm                    , Secure Virtual Machine
0x80000001,         0,  ecx,       3,    extapic                , Extended APIC space
0x80000001,         0,  ecx,       4,    cr8_legacy             , LOCK MOV CR0 means MOV CR8
0x80000001,         0,  ecx,       5,    abm                    , LZCNT advanced bit manipulation
0x80000001,         0,  ecx,       6,    sse4a                  , SSE4A support
0x80000001,         0,  ecx,       7,    misalignsse            , Misaligned SSE mode
0x80000001,         0,  ecx,       8,    3dnowprefetch          , 3DNow PREFETCH/PREFETCHW support
0x80000001,         0,  ecx,       9,    osvw                   , OS visible workaround
0x80000001,         0,  ecx,      10,    ibs                    , Instruction based sampling
0x80000001,         0,  ecx,      11,    xop                    , XOP: extended operation (AVX instructions)
0x80000001,         0,  ecx,      12,    skinit                 , SKINIT/STGI support
0x80000001,         0,  ecx,      13,    wdt                    , Watchdog timer support
0x80000001,         0,  ecx,      15,    lwp                    , Lightweight profiling
0x80000001,         0,  ecx,      16,    fma4                   , 4-operand FMA instruction
0x80000001,         0,  ecx,      17,    tce                    , Translation cache extension
0x80000001,         0,  ecx,      19,    nodeid_msr             , NodeId MSR (0xc001100c)
0x80000001,         0,  ecx,      21,    tbm                    , Trailing bit manipulations
0x80000001,         0,  ecx,      22,    topoext                , Topology Extensions (leaf 0x8000001d)
0x80000001,         0,  ecx,      23,    perfctr_core           , Core performance counter extensions
0x80000001,         0,  ecx,      24,    perfctr_nb             , NB/DF performance counter extensions
0x80000001,         0,  ecx,      26,    bpext                  , Data access breakpoint extension
0x80000001,         0,  ecx,      27,    ptsc                   , Performance time-stamp counter
0x80000001,         0,  ecx,      28,    perfctr_llc            , LLC (L3) performance counter extensions
0x80000001,         0,  ecx,      29,    mwaitx                 , MWAITX/MONITORX support
0x80000001,         0,  ecx,      30,    addr_mask_ext          , Breakpoint address mask extension (to bit 31)
0x80000001,         0,  edx,       0,    e_fpu                  , Floating-Point Unit on-chip (x87)
0x80000001,         0,  edx,       1,    e_vme                  , Virtual-8086 Mode Extensions
0x80000001,         0,  edx,       2,    e_de                   , Debugging Extensions
0x80000001,         0,  edx,       3,    e_pse                  , Page Size Extension
0x80000001,         0,  edx,       4,    e_tsc                  , Time Stamp Counter
0x80000001,         0,  edx,       5,    e_msr                  , Model-Specific Registers (RDMSR and WRMSR support)
0x80000001,         0,  edx,       6,    pae                    , Physical Address Extensions
0x80000001,         0,  edx,       7,    mce                    , Machine Check Exception
0x80000001,         0,  edx,       8,    cx8                    , CMPXCHG8B instruction
0x80000001,         0,  edx,       9,    apic                   , APIC on-chip
0x80000001,         0,  edx,      11,    syscall                , SYSCALL and SYSRET instructions
0x80000001,         0,  edx,      12,    mtrr                   , Memory Type Range Registers
0x80000001,         0,  edx,      13,    pge                    , Page Global Extensions
0x80000001,         0,  edx,      14,    mca                    , Machine Check Architecture
0x80000001,         0,  edx,      15,    cmov                   , Conditional Move Instruction
0x80000001,         0,  edx,      16,    pat                    , Page Attribute Table
0x80000001,         0,  edx,      17,    pse36                  , Page Size Extension (36-bit)
0x80000001,         0,  edx,      19,    mp                     , Out-of-spec AMD Multiprocessing bit
0x80000001,         0,  edx,      20,    nx                     , No-execute page protection
0x80000001,         0,  edx,      22,    mmxext                 , AMD MMX extensions
0x80000001,         0,  edx,      23,    e_mmx                  , MMX instructions
0x80000001,         0,  edx,      24,    e_fxsr                 , FXSAVE and FXRSTOR instructions
0x80000001,         0,  edx,      25,    fxsr_opt               , FXSAVE and FXRSTOR optimizations
0x80000001,         0,  edx,      26,    pdpe1gb                , 1-GB large page support
0x80000001,         0,  edx,      27,    rdtscp                 , RDTSCP instruction
0x80000001,         0,  edx,      29,    lm                     , Long mode (x86-64, 64-bit support)
0x80000001,         0,  edx,      30,    3dnowext               , AMD 3DNow extensions
0x80000001,         0,  edx,      31,    3dnow                  , 3DNow instructions

# Leaf 80000002H
# CPU brand ID string, bytes 0 - 15

0x80000002,         0,  eax,    31:0,    cpu_brandid_0          , CPU brand ID string, bytes 0 - 3
0x80000002,         0,  ebx,    31:0,    cpu_brandid_1          , CPU brand ID string, bytes 4 - 7
0x80000002,         0,  ecx,    31:0,    cpu_brandid_2          , CPU brand ID string, bytes 8 - 11
0x80000002,         0,  edx,    31:0,    cpu_brandid_3          , CPU brand ID string, bytes 12 - 15

# Leaf 80000003H
# CPU brand ID string, bytes 16 - 31

0x80000003,         0,  eax,    31:0,    cpu_brandid_4          , CPU brand ID string bytes, 16 - 19
0x80000003,         0,  ebx,    31:0,    cpu_brandid_5          , CPU brand ID string bytes, 20 - 23
0x80000003,         0,  ecx,    31:0,    cpu_brandid_6          , CPU brand ID string bytes, 24 - 27
0x80000003,         0,  edx,    31:0,    cpu_brandid_7          , CPU brand ID string bytes, 28 - 31

# Leaf 80000004H
# CPU brand ID string, bytes 32 - 47

0x80000004,         0,  eax,    31:0,    cpu_brandid_8          , CPU brand ID string, bytes 32 - 35
0x80000004,         0,  ebx,    31:0,    cpu_brandid_9          , CPU brand ID string, bytes 36 - 39
0x80000004,         0,  ecx,    31:0,    cpu_brandid_10         , CPU brand ID string, bytes 40 - 43
0x80000004,         0,  edx,    31:0,    cpu_brandid_11         , CPU brand ID string, bytes 44 - 47

# Leaf 80000005H
# AMD/Transmeta L1 cache and L1 TLB enumeration

0x80000005,         0,  eax,     7:0,    l1_itlb_2m_4m_nentries , L1 ITLB #entries, 2M and 4M pages
0x80000005,         0,  eax,    15:8,    l1_itlb_2m_4m_assoc    , L1 ITLB associativity, 2M and 4M pages
0x80000005,         0,  eax,   23:16,    l1_dtlb_2m_4m_nentries , L1 DTLB #entries, 2M and 4M pages
0x80000005,         0,  eax,   31:24,    l1_dtlb_2m_4m_assoc    , L1 DTLB associativity, 2M and 4M pages
0x80000005,         0,  ebx,     7:0,    l1_itlb_4k_nentries    , L1 ITLB #entries, 4K pages
0x80000005,         0,  ebx,    15:8,    l1_itlb_4k_assoc       , L1 ITLB associativity, 4K pages
0x80000005,         0,  ebx,   23:16,    l1_dtlb_4k_nentries    , L1 DTLB #entries, 4K pages
0x80000005,         0,  ebx,   31:24,    l1_dtlb_4k_assoc       , L1 DTLB associativity, 4K pages
0x80000005,         0,  ecx,     7:0,    l1_dcache_line_size    , L1 dcache line size, in bytes
0x80000005,         0,  ecx,    15:8,    l1_dcache_nlines       , L1 dcache lines per tag
0x80000005,         0,  ecx,   23:16,    l1_dcache_assoc        , L1 dcache associativity
0x80000005,         0,  ecx,   31:24,    l1_dcache_size_kb      , L1 dcache size, in KB
0x80000005,         0,  edx,     7:0,    l1_icache_line_size    , L1 icache line size, in bytes
0x80000005,         0,  edx,    15:8,    l1_icache_nlines       , L1 icache lines per tag
0x80000005,         0,  edx,   23:16,    l1_icache_assoc        , L1 icache associativity
0x80000005,         0,  edx,   31:24,    l1_icache_size_kb      , L1 icache size, in KB

# Leaf 80000006H
# (Mostly AMD) L2 TLB, L2 cache, and L3 cache enumeration

0x80000006,         0,  eax,    11:0,    l2_itlb_2m_4m_nentries , L2 iTLB #entries, 2M and 4M pages
0x80000006,         0,  eax,   15:12,    l2_itlb_2m_4m_assoc    , L2 iTLB associativity, 2M and 4M pages
0x80000006,         0,  eax,   27:16,    l2_dtlb_2m_4m_nentries , L2 dTLB #entries, 2M and 4M pages
0x80000006,         0,  eax,   31:28,    l2_dtlb_2m_4m_assoc    , L2 dTLB associativity, 2M and 4M pages
0x80000006,         0,  ebx,    11:0,    l2_itlb_4k_nentries    , L2 iTLB #entries, 4K pages
0x80000006,         0,  ebx,   15:12,    l2_itlb_4k_assoc       , L2 iTLB associativity, 4K pages
0x80000006,         0,  ebx,   27:16,    l2_dtlb_4k_nentries    , L2 dTLB #entries, 4K pages
0x80000006,         0,  ebx,   31:28,    l2_dtlb_4k_assoc       , L2 dTLB associativity, 4K pages
0x80000006,         0,  ecx,     7:0,    l2_line_size           , L2 cache line size, in bytes
0x80000006,         0,  ecx,    11:8,    l2_nlines              , L2 cache number of lines per tag
0x80000006,         0,  ecx,   15:12,    l2_assoc               , L2 cache associativity
0x80000006,         0,  ecx,   31:16,    l2_size_kb             , L2 cache size, in KB
0x80000006,         0,  edx,     7:0,    l3_line_size           , L3 cache line size, in bytes
0x80000006,         0,  edx,    11:8,    l3_nlines              , L3 cache number of lines per tag
0x80000006,         0,  edx,   15:12,    l3_assoc               , L3 cache associativity
0x80000006,         0,  edx,   31:18,    l3_size_range          , L3 cache size range

# Leaf 80000007H
# CPU power management (mostly AMD) and AMD RAS enumeration

0x80000007,         0,  ebx,       0,    overflow_recov         , MCA overflow conditions not fatal
0x80000007,         0,  ebx,       1,    succor                 , Software containment of uncorrectable errors
0x80000007,         0,  ebx,       2,    hw_assert              , Hardware assert MSRs
0x80000007,         0,  ebx,       3,    smca                   , Scalable MCA (MCAX MSRs)
0x80000007,         0,  ecx,    31:0,    cpu_pwr_sample_ratio   , CPU power sample time ratio
0x80000007,         0,  edx,       0,    digital_temp           , Digital temperature sensor
0x80000007,         0,  edx,       1,    powernow_freq_id       , PowerNOW! frequency scaling
0x80000007,         0,  edx,       2,    powernow_volt_id       , PowerNOW! voltage scaling
0x80000007,         0,  edx,       3,    thermal_trip           , THERMTRIP (Thermal Trip)
