#
# $FreeBSD$
#
#	Name:             BIG5 to Unicode table (complete)
#	Unicode version:  1.1
#	Table version:    0.0d3
#	Table format:     Format A
#	Date:             11 February 1994
#
#	Copyright (c) 1991-1994 Unicode, Inc.  All Rights reserved.
#
#	This file is provided as-is by Unicode, Inc. (The Unicode Consortium).
#	No claims are made as to fitness for any particular purpose.  No
#	warranties of any kind are expressed or implied.  The recipient
#	agrees to determine applicability of information provided.  If this
#	file has been provided on magnetic media by Unicode, Inc., the sole
#	remedy for any claim will be exchange of defective media within 90
#	days of receipt.
#
#	Recipient is granted the right to make copies in any form for
#	internal distribution and to freely use the information supplied
#	in the creation of products supporting Unicode.  Unicode, Inc.
#	specifically excludes the right to re-distribute this file directly
#	to third parties or other organizations whether for profit or not.
#
#	General notes:
#
#
# This table contains one set of mappings from BIG5 into Unicode.
# Note that these data are *possible* mappings only and may not be the
# same as those used by actual products, nor may they be the best suited
# for all uses.  For more information on the mappings between various code
# pages incorporating the repertoire of BIG5 and Unicode, consult the
# VENDORS mapping data.  Normative information on the mapping between
# BIG5 and Unicode may be found in the Unihan.txt file in the
# latest Unicode Character Database.
#
# If you have carefully considered the fact that the mappings in
# this table are only one possible set of mappings between BIG5 and
# Unicode and have no normative status, but still feel that you
# have located an error in the table that requires fixing, you may
# report any such error to errata@unicode.org.
#
#	WARNING!  It is currently impossible to provide round-trip compatibility
#		between BIG5 and Unicode.  
#
#	A number of characters are not currently mapped because
#		of conflicts with other mappings.  They are as follows:
#
#       BIG5        Description                    Comments
#
#       0xA15A      SPACING UNDERSCORE             duplicates A1C4
#       0xA1C3      SPACING HEAVY OVERSCORE        not in Unicode
#       0xA1C5      SPACING HEAVY UNDERSCORE       not in Unicode
#       0xA1FE      LT DIAG UP RIGHT TO LOW LEFT   duplicates A2AC
#       0xA240      LT DIAG UP LEFT TO LOW RIGHT   duplicates A2AD
#       0xA2CC      HANGZHOU NUMERAL TEN           conflicts with A451 mapping
#       0xA2CE      HANGZHOU NUMERAL THIRTY        conflicts with A4CA mapping
#
#	We currently map all of these characters to U+FFFD REPLACEMENT CHARACTER.
#		It is also possible to map these characters to their duplicates, or to
#		the user zone.  
#	
#	Notes:
#
#	1. In addition to the above, there is some uncertainty about the
#       mappings in the range C6A1 - C8FE, and F9DD - F9FE.  The ETEN
#	version of BIG5 organizes the former range differently, and adds
#	additional characters in the latter range.  The correct mappings
#	these ranges need to be determined.
#
#	2.  There is an uncertainty in the mapping of the Big Five character
#	0xA3BC.  This character occurs within the Big Five block of tone marks
#	for bopomofo and is intended to be the tone mark for the first tone in
#	Mandarin Chinese.  We have selected the mapping U+02C9 MODIFIER LETTER
#	MACRON (Mandarin Chinese first tone) to reflect this semantic.  
#	However, because bopomofo uses the absense of a tone mark to indicate
#	the first Mandarin tone, most implementations of Big Five represent
#	this character with a blank space, and so a mapping such as U+2003 EM
#	SPACE might be preferred.  
#
#	Format:  Three tab-separated columns
#		 Column #1 is the BIG5 code (in hex as 0xXXXX)
#		 Column #2 is the Unicode (in hex as 0xXXXX)
#		 Column #3  is the Unicode name (follows a comment sign, '#')
#			The official names for Unicode characters U+4E00
#			to U+9FA5, inclusive, is "CJK UNIFIED IDEOGRAPH-XXXX",
#			where XXXX is the code point.  Including all these
#			names in this file increases its size substantially
#			and needlessly.  The token "<CJK>" is used for the
#			name of these characters.  If necessary, it can be
#			expanded algorithmically by a parser or editor.
#
#	The entries are in BIG5 order
#
#
0xA140	0x3000	# IDEOGRAPHIC SPACE
0xAE77	0x5EAB	# <CJK>
0xAE78	0x5EAD	# <CJK>
0xAE79	0x5EA7	# <CJK>
0xAE7A	0x5F31	# <CJK>
0xAE7B	0x5F92	# <CJK>
0xAE7C	0x5F91	# <CJK>
0xAE7D	0x5F90	# <CJK>
0xAE7E	0x6059	# <CJK>
0xAEA1	0x6063	# <CJK>
0xAEA2	0x6065	# <CJK>
0xAEA3	0x6050	# <CJK>
0xAEA4	0x6055	# <CJK>
0xAEA5	0x606D	# <CJK>
0xAEA6	0x6069	# <CJK>
0xAEA7	0x606F	# <CJK>
0xAEA8	0x6084	# <CJK>
0xAEA9	0x609F	# <CJK>
0xAEAA	0x609A	# <CJK>
0xAEAB	0x608D	# <CJK>
0xAEAC	0x6094	# <CJK>
0xAEAD	0x608C	# <CJK>
0xAEAE	0x6085	# <CJK>
0xAEAF	0x6096	# <CJK>
0xAEB0	0x6247	# <CJK>
0xAEB1	0x62F3	# <CJK>
0xAEB2	0x6308	# <CJK>
0xAEB3	0x62FF	# <CJK>
0xAEB4	0x634E	# <CJK>
0xAEB5	0x633E	# <CJK>
0xAEB6	0x632F	# <CJK>
0xAEB7	0x6355	# <CJK>
0xAEB8	0x6342	# <CJK>
0xAEB9	0x6346	# <CJK>
0xAEBA	0x634F	# <CJK>
0xAEBB	0x6349	# <CJK>
0xAEBC	0x633A	# <CJK>
0xAEBD	0x6350	# <CJK>
0xAEBE	0x633D	# <CJK>
0xAEBF	0x632A	# <CJK>
0xAEC0	0x632B	# <CJK>
0xAEC1	0x6328	# <CJK>
0xAEC2	0x634D	# <CJK>
0xAEC3	0x634C	# <CJK>
0xAEC4	0x6548	# <CJK>
0xAEC5	0x6549	# <CJK>
0xAEC6	0x6599	# <CJK>
0xAEC7	0x65C1	# <CJK>
0xAEC8	0x65C5	# <CJK>
0xAEC9	0x6642	# <CJK>
0xAECA	0x6649	# <CJK>
0xAECB	0x664F	# <CJK>
0xAECC	0x6643	# <CJK>
0xAECD	0x6652	# <CJK>
0xAECE	0x664C	# <CJK>
0xAECF	0x6645	# <CJK>
0xAED0	0x6641	# <CJK>
0xAED1	0x66F8	# <CJK>
0xAED2	0x6714	# <CJK>
0xAED3	0x6715	# <CJK>
0xAED4	0x6717	# <CJK>
0xAED5	0x6821	# <CJK>
0xAED6	0x6838	# <CJK>
0xAED7	0x6848	# <CJK>
0xAED8	0x6846	# <CJK>
0xAED9	0x6853	# <CJK>
0xAEDA	0x6839	# <CJK>
0xAEDB	0x6842	# <CJK>
0xAEDC	0x6854	# <CJK>
0xAEDD	0x6829	# <CJK>
0xAEDE	0x68B3	# <CJK>
0xAEDF	0x6817	# <CJK>
0xAEE0	0x684C	# <CJK>
0xAEE1	0x6851	# <CJK>
0xAEE2	0x683D	# <CJK>
0xAEE3	0x67F4	# <CJK>
0xAEE4	0x6850	# <CJK>
0xAEE5	0x6840	# <CJK>
0xAEE6	0x683C	# <CJK>
0xAEE7	0x6843	# <CJK>
0xAEE8	0x682A	# <CJK>
0xAEE9	0x6845	# <CJK>
0xAEEA	0x6813	# <CJK>
0xAEEB	0x6818	# <CJK>
0xAEEC	0x6841	# <CJK>
0xAEED	0x6B8A	# <CJK>
0xAEEE	0x6B89	# <CJK>
0xAEEF	0x6BB7	# <CJK>
0xAEF0	0x6C23	# <CJK>
0xAEF1	0x6C27	# <CJK>
0xAEF2	0x6C28	# <CJK>
0xAEF3	0x6C26	# <CJK>
0xAEF4	0x6C24	# <CJK>
0xAEF5	0x6CF0	# <CJK>
0xAEF6	0x6D6A	# <CJK>
0xAEF7	0x6D95	# <CJK>
0xAEF8	0x6D88	# <CJK>
0xAEF9	0x6D87	# <CJK>
0xAEFA	0x6D66	# <CJK>
0xAEFB	0x6D78	# <CJK>
0xAEFC	0x6D77	# <CJK>
0xAEFD	0x6D59	# <CJK>
0xAEFE	0x6D93	# <CJK>
0xAF40	0x6D6C	# <CJK>
0xAF41	0x6D89	# <CJK>
0xAF42	0x6D6E	# <CJK>
0xAF43	0x6D5A	# <CJK>
0xAF44	0x6D74	# <CJK>
0xAF45	0x6D69	# <CJK>
0xAF46	0x6D8C	# <CJK>
0xAF47	0x6D8A	# <CJK>
0xAF48	0x6D79	# <CJK>
0xAF49	0x6D85	# <CJK>
0xAF4A	0x6D65	# <CJK>
0xAF4B	0x6D94	# <CJK>
0xAF4C	0x70CA	# <CJK>
0xAF4D	0x70D8	# <CJK>
0xAF4E	0x70E4	# <CJK>
0xAF4F	0x70D9	# <CJK>
0xAF50	0x70C8	# <CJK>
0xAF51	0x70CF	# <CJK>
0xAF52	0x7239	# <CJK>
0xAF53	0x7279	# <CJK>
0xAF54	0x72FC	# <CJK>
0xAF55	0x72F9	# <CJK>
0xAF56	0x72FD	# <CJK>
0xAF57	0x72F8	# <CJK>
0xAF58	0x72F7	# <CJK>
0xAF59	0x7386	# <CJK>
0xAF5A	0x73ED	# <CJK>
0xAF5B	0x7409	# <CJK>
0xAF5C	0x73EE	# <CJK>
0xAF5D	0x73E0	# <CJK>
0xAF5E	0x73EA	# <CJK>
0xAF5F	0x73DE	# <CJK>
0xAF60	0x7554	# <CJK>
0xAF61	0x755D	# <CJK>
0xAF62	0x755C	# <CJK>
0xAF63	0x755A	# <CJK>
0xAF64	0x7559	# <CJK>
0xAF65	0x75BE	# <CJK>
0xAF66	0x75C5	# <CJK>
0xAF67	0x75C7	# <CJK>
0xAF68	0x75B2	# <CJK>
0xAF69	0x75B3	# <CJK>
0xAF6A	0x75BD	# <CJK>
0xAF6B	0x75BC	# <CJK>
0xAF6C	0x75B9	# <CJK>
0xAF6D	0x75C2	# <CJK>
0xAF6E	0x75B8	# <CJK>
0xAF6F	0x768B	# <CJK>
0xAF70	0x76B0	# <CJK>
0xAF71	0x76CA	# <CJK>
0xAF72	0x76CD	# <CJK>
0xAF73	0x76CE	# <CJK>
0xAF74	0x7729	# <CJK>
0xAF75	0x771F	# <CJK>
0xAF76	0x7720	# <CJK>
0xAF77	0x7728	# <CJK>
0xAF78	0x77E9	# <CJK>
0xAF79	0x7830	# <CJK>
0xAF7A	0x7827	# <CJK>
0xAF7B	0x7838	# <CJK>
0xAF7C	0x781D	# <CJK>
0xAF7D	0x7834	# <CJK>
0xAF7E	0x7837	# <CJK>
0xAFA1	0x7825	# <CJK>
0xAFA2	0x782D	# <CJK>
0xAFA3	0x7820	# <CJK>
0xAFA4	0x781F	# <CJK>
0xAFA5	0x7832	# <CJK>
0xAFA6	0x7955	# <CJK>
0xAFA7	0x7950	# <CJK>
0xAFA8	0x7960	# <CJK>
0xAFA9	0x795F	# <CJK>
0xAFAA	0x7956	# <CJK>
0xAFAB	0x795E	# <CJK>
0xAFAC	0x795D	# <CJK>
0xAFAD	0x7957	# <CJK>
0xAFAE	0x795A	# <CJK>
0xAFAF	0x79E4	# <CJK>
0xAFB0	0x79E3	# <CJK>
0xAFB1	0x79E7	# <CJK>
0xAFB2	0x79DF	# <CJK>
0xAFB3	0x79E6	# <CJK>
0xAFB4	0x79E9	# <CJK>
0xAFB5	0x79D8	# <CJK>
0xAFB6	0x7A84	# <CJK>
0xAFB7	0x7A88	# <CJK>
0xAFB8	0x7AD9	# <CJK>
0xAFB9	0x7B06	# <CJK>
0xAFBA	0x7B11	# <CJK>
0xAFBB	0x7C89	# <CJK>
0xAFBC	0x7D21	# <CJK>
0xAFBD	0x7D17	# <CJK>
0xAFBE	0x7D0B	# <CJK>
0xAFBF	0x7D0A	# <CJK>
0xAFC0	0x7D20	# <CJK>
0xAFC1	0x7D22	# <CJK>
0xAFC2	0x7D14	# <CJK>
0xAFC3	0x7D10	# <CJK>
0xAFC4	0x7D15	# <CJK>
0xAFC5	0x7D1A	# <CJK>
0xAFC6	0x7D1C	# <CJK>
0xAFC7	0x7D0D	# <CJK>
0xAFC8	0x7D19	# <CJK>
0xAFC9	0x7D1B	# <CJK>
0xAFCA	0x7F3A	# <CJK>
0xAFCB	0x7F5F	# <CJK>
0xAFCC	0x7F94	# <CJK>
0xAFCD	0x7FC5	# <CJK>
0xAFCE	0x7FC1	# <CJK>
0xAFCF	0x8006	# <CJK>
0xAFD0	0x8018	# <CJK>
0xAFD1	0x8015	# <CJK>
0xAFD2	0x8019	# <CJK>
0xAFD3	0x8017	# <CJK>
0xAFD4	0x803D	# <CJK>
0xAFD5	0x803F	# <CJK>
0xAFD6	0x80F1	# <CJK>
0xAFD7	0x8102	# <CJK>
0xAFD8	0x80F0	# <CJK>
0xAFD9	0x8105	# <CJK>
0xAFDA	0x80ED	# <CJK>
0xAFDB	0x80F4	# <CJK>
0xAFDC	0x8106	# <CJK>
0xAFDD	0x80F8	# <CJK>
0xAFDE	0x80F3	# <CJK>
0xAFDF	0x8108	# <CJK>
0xAFE0	0x80FD	# <CJK>
0xAFE1	0x810A	# <CJK>
0xAFE2	0x80FC	# <CJK>
0xAFE3	0x80EF	# <CJK>
0xAFE4	0x81ED	# <CJK>
0xAFE5	0x81EC	# <CJK>
0xAFE6	0x8200	# <CJK>
0xAFE7	0x8210	# <CJK>
0xAFE8	0x822A	# <CJK>
0xAFE9	0x822B	# <CJK>
0xAFEA	0x8228	# <CJK>
0xAFEB	0x822C	# <CJK>
0xAFEC	0x82BB	# <CJK>
0xAFED	0x832B	# <CJK>
0xAFEE	0x8352	# <CJK>
0xAFEF	0x8354	# <CJK>
0xAFF0	0x834A	# <CJK>
0xAFF1	0x8338	# <CJK>
0xAFF2	0x8350	# <CJK>
0xAFF3	0x8349	# <CJK>
0xAFF4	0x8335	# <CJK>
0xAFF5	0x8334	# <CJK>
0xAFF6	0x834F	# <CJK>
0xAFF7	0x8332	# <CJK>
0xAFF8	0x8339	# <CJK>
0xAFF9	0x8336	# <CJK>
0xAFFA	0x8317	# <CJK>
0xAFFB	0x8340	# <CJK>
0xAFFC	0x8331	# <CJK>
0xAFFD	0x8328	# <CJK>
0xAFFE	0x8343	# <CJK>
0xB040	0x8654	# <CJK>
0xB041	0x868A	# <CJK>
0xB042	0x86AA	# <CJK>
0xB043	0x8693	# <CJK>
0xB044	0x86A4	# <CJK>
0xB045	0x86A9	# <CJK>
0xB046	0x868C	# <CJK>
0xB047	0x86A3	# <CJK>
0xB048	0x869C	# <CJK>
0xB049	0x8870	# <CJK>
0xB04A	0x8877	# <CJK>
0xB04B	0x8881	# <CJK>
0xB04C	0x8882	# <CJK>
0xB04D	0x887D	# <CJK>
0xB04E	0x8879	# <CJK>
0xB04F	0x8A18	# <CJK>
0xB050	0x8A10	# <CJK>
0xB051	0x8A0E	# <CJK>
0xB052	0x8A0C	# <CJK>
0xB053	0x8A15	# <CJK>
0xB054	0x8A0A	# <CJK>
0xB055	0x8A17	# <CJK>
0xB056	0x8A13	# <CJK>
0xB057	0x8A16	# <CJK>
0xB058	0x8A0F	# <CJK>
0xB059	0x8A11	# <CJK>
0xB05A	0x8C48	# <CJK>
0xB05B	0x8C7A	# <CJK>
0xB05C	0x8C79	# <CJK>
0xB05D	0x8CA1	# <CJK>
0xB05E	0x8CA2	# <CJK>
0xB05F	0x8D77	# <CJK>
0xB060	0x8EAC	# <CJK>
0xB061	0x8ED2	# <CJK>
0xB062	0x8ED4	# <CJK>
0xB063	0x8ECF	# <CJK>
0xB064	0x8FB1	# <CJK>
0xB065	0x9001	# <CJK>
0xB066	0x9006	# <CJK>
0xB067	0x8FF7	# <CJK>
0xB068	0x9000	# <CJK>
0xB069	0x8FFA	# <CJK>
0xB06A	0x8FF4	# <CJK>
0xB06B	0x9003	# <CJK>
0xB06C	0x8FFD	# <CJK>
0xB06D	0x9005	# <CJK>
0xB06E	0x8FF8	# <CJK>
0xB06F	0x9095	# <CJK>
0xB070	0x90E1	# <CJK>
0xB071	0x90DD	# <CJK>
0xB072	0x90E2	# <CJK>
0xB073	0x9152	# <CJK>
0xB074	0x914D	# <CJK>
0xB075	0x914C	# <CJK>
0xB076	0x91D8	# <CJK>
0xB077	0x91DD	# <CJK>
0xB078	0x91D7	# <CJK>
0xB079	0x91DC	# <CJK>
0xB07A	0x91D9	# <CJK>
0xB07B	0x9583	# <CJK>
0xB07C	0x9662	# <CJK>
0xB07D	0x9663	# <CJK>
0xB07E	0x9661	# <CJK>
0xB0A1	0x965B	# <CJK>
0xB0A2	0x965D	# <CJK>
0xB0A3	0x9664	# <CJK>
0xB0A4	0x9658	# <CJK>
0xB0A5	0x965E	# <CJK>
0xB0A6	0x96BB	# <CJK>
0xB0A7	0x98E2	# <CJK>
0xB0A8	0x99AC	# <CJK>
0xB0A9	0x9AA8	# <CJK>
0xB0AA	0x9AD8	# <CJK>
0xB0AB	0x9B25	# <CJK>
0xB0AC	0x9B32	# <CJK>
0xB0AD	0x9B3C	# <CJK>
0xB0AE	0x4E7E	# <CJK>
0xB0AF	0x507A	# <CJK>
0xB0B0	0x507D	# <CJK>
0xB0B1	0x505C	# <CJK>
0xB0B2	0x5047	# <CJK>
0xB0B3	0x5043	# <CJK>
0xB0B4	0x504C	# <CJK>
0xB0B5	0x505A	# <CJK>
0xB0B6	0x5049	# <CJK>
0xB0B7	0x5065	# <CJK>
0xB0B8	0x5076	# <CJK>
0xB0B9	0x504E	# <CJK>
0xB0BA	0x5055	# <CJK>
0xB0BB	0x5075	# <CJK>
0xB0BC	0x5074	# <CJK>
0xB0BD	0x5077	# <CJK>
0xB0BE	0x504F	# <CJK>
0xB0BF	0x500F	# <CJK>
0xB0C0	0x506F	# <CJK>
0xB0C1	0x506D	# <CJK>
0xB0C2	0x515C	# <CJK>
0xB0C3	0x5195	# <CJK>
0xB0C4	0x51F0	# <CJK>
0xB0C5	0x526A	# <CJK>
0xB0C6	0x526F	# <CJK>
0xB0C7	0x52D2	# <CJK>
0xB0C8	0x52D9	# <CJK>
0xB0C9	0x52D8	# <CJK>
0xB0CA	0x52D5	# <CJK>
0xB0CB	0x5310	# <CJK>
0xB0CC	0x530F	# <CJK>
0xB0CD	0x5319	# <CJK>
0xB0CE	0x533F	# <CJK>
0xB0CF	0x5340	# <CJK>
0xB0D0	0x533E	# <CJK>
0xB0D1	0x53C3	# <CJK>
0xB0D2	0x66FC	# <CJK>
0xB0D3	0x5546	# <CJK>
0xB0D4	0x556A	# <CJK>
0xB0D5	0x5566	# <CJK>
0xB0D6	0x5544	# <CJK>
0xB0D7	0x555E	# <CJK>
0xB0D8	0x5561	# <CJK>
0xB0D9	0x5543	# <CJK>
0xB0DA	0x554A	# <CJK>
0xB0DB	0x5531	# <CJK>
0xB0DC	0x5556	# <CJK>
0xB0DD	0x554F	# <CJK>
0xB0DE	0x5555	# <CJK>
0xB0DF	0x552F	# <CJK>
0xB0E0	0x5564	# <CJK>
0xB0E1	0x5538	# <CJK>
0xB0E2	0x552E	# <CJK>
0xB0E3	0x555C	# <CJK>
0xB0E4	0x552C	# <CJK>
0xB0E5	0x5563	# <CJK>
0xB0E6	0x5533	# <CJK>
0xB0E7	0x5541	# <CJK>
0xB0E8	0x5557	# <CJK>
0xB0E9	0x5708	# <CJK>
0xB0EA	0x570B	# <CJK>
0xB0EB	0x5709	# <CJK>
0xB0EC	0x57DF	# <CJK>
0xB0ED	0x5805	# <CJK>
0xB0EE	0x580A	# <CJK>
0xB0EF	0x5806	# <CJK>
0xB0F0	0x57E0	# <CJK>
0xB0F1	0x57E4	# <CJK>
0xB0F2	0x57FA	# <CJK>
0xB0F3	0x5802	# <CJK>
0xB0F4	0x5835	# <CJK>
0xB0F5	0x57F7	# <CJK>
0xB0F6	0x57F9	# <CJK>
0xB0F7	0x5920	# <CJK>
0xB0F8	0x5962	# <CJK>
0xB0F9	0x5A36	# <CJK>
0xB0FA	0x5A41	# <CJK>
0xB0FB	0x5A49	# <CJK>
0xB0FC	0x5A66	# <CJK>
0xB0FD	0x5A6A	# <CJK>
0xB0FE	0x5A40	# <CJK>
0xB140	0x5A3C	# <CJK>
0xB141	0x5A62	# <CJK>
0xB142	0x5A5A	# <CJK>
0xB143	0x5A46	# <CJK>
0xB144	0x5A4A	# <CJK>
0xB145	0x5B70	# <CJK>
0xB146	0x5BC7	# <CJK>
0xB147	0x5BC5	# <CJK>
0xB148	0x5BC4	# <CJK>
0xB149	0x5BC2	# <CJK>
0xB14A	0x5BBF	# <CJK>
0xB14B	0x5BC6	# <CJK>
0xB14C	0x5C09	# <CJK>
0xB14D	0x5C08	# <CJK>
0xB14E	0x5C07	# <CJK>
0xB14F	0x5C60	# <CJK>
0xB150	0x5C5C	# <CJK>
0xB151	0x5C5D	# <CJK>
0xB152	0x5D07	# <CJK>
0xB153	0x5D06	# <CJK>
0xB154	0x5D0E	# <CJK>
0xB155	0x5D1B	# <CJK>
0xB156	0x5D16	# <CJK>
0xB157	0x5D22	# <CJK>
0xB158	0x5D11	# <CJK>
0xB159	0x5D29	# <CJK>
0xB15A	0x5D14	# <CJK>
0xB15B	0x5D19	# <CJK>
0xB15C	0x5D24	# <CJK>
0xB15D	0x5D27	# <CJK>
0xB15E	0x5D17	# <CJK>
0xB15F	0x5DE2	# <CJK>
0xB160	0x5E38	# <CJK>
0xB161	0x5E36	# <CJK>
0xB162	0x5E33	# <CJK>
0xB163	0x5E37	# <CJK>
0xB164	0x5EB7	# <CJK>
0xB165	0x5EB8	# <CJK>
0xB166	0x5EB6	# <CJK>
0xB167	0x5EB5	# <CJK>
0xB168	0x5EBE	# <CJK>
0xB169	0x5F35	# <CJK>
0xB16A	0x5F37	# <CJK>
0xB16B	0x5F57	# <CJK>
0xB16C	0x5F6C	# <CJK>
0xB16D	0x5F69	# <CJK>
0xB16E	0x5F6B	# <CJK>
0xB16F	0x5F97	# <CJK>
0xB170	0x5F99	# <CJK>
0xB171	0x5F9E	# <CJK>
0xB172	0x5F98	# <CJK>
0xB173	0x5FA1	# <CJK>
0xB174	0x5FA0	# <CJK>
0xB175	0x5F9C	# <CJK>
0xB176	0x607F	# <CJK>
0xB177	0x60A3	# <CJK>
0xB178	0x6089	# <CJK>
0xB179	0x60A0	# <CJK>
0xB17A	0x60A8	# <CJK>
0xB17B	0x60CB	# <CJK>
0xB17C	0x60B4	# <CJK>
0xB17D	0x60E6	# <CJK>
0xB17E	0x60BD	# <CJK>
0xB1A1	0x60C5	# <CJK>
0xB1A2	0x60BB	# <CJK>
0xB1A3	0x60B5	# <CJK>
0xB1A4	0x60DC	# <CJK>
0xB1A5	0x60BC	# <CJK>
0xB1A6	0x60D8	# <CJK>
0xB1A7	0x60D5	# <CJK>
0xB1A8	0x60C6	# <CJK>
0xB1A9	0x60DF	# <CJK>
0xB1AA	0x60B8	# <CJK>
0xB1AB	0x60DA	# <CJK>
0xB1AC	0x60C7	# <CJK>
0xB1AD	0x621A	# <CJK>
0xB1AE	0x621B	# <CJK>
0xB1AF	0x6248	# <CJK>
0xB1B0	0x63A0	# <CJK>
0xB1B1	0x63A7	# <CJK>
0xB1B2	0x6372	# <CJK>
0xB1B3	0x6396	# <CJK>
0xB1B4	0x63A2	# <CJK>
0xB1B5	0x63A5	# <CJK>
0xB1B6	0x6377	# <CJK>
0xB1B7	0x6367	# <CJK>
0xB1B8	0x6398	# <CJK>
0xB1B9	0x63AA	# <CJK>
0xB1BA	0x6371	# <CJK>
0xB1BB	0x63A9	# <CJK>
0xB1BC	0x6389	# <CJK>
0xB1BD	0x6383	# <CJK>
0xB1BE	0x639B	# <CJK>
0xB1BF	0x636B	# <CJK>
0xB1C0	0x63A8	# <CJK>
0xB1C1	0x6384	# <CJK>
0xB1C2	0x6388	# <CJK>
0xB1C3	0x6399	# <CJK>
0xB1C4	0x63A1	# <CJK>
0xB1C5	0x63AC	# <CJK>
0xB1C6	0x6392	# <CJK>
0xB1C7	0x638F	# <CJK>
0xB1C8	0x6380	# <CJK>
0xB1C9	0x637B	# <CJK>
0xB1CA	0x6369	# <CJK>
0xB1CB	0x6368	# <CJK>
0xB1CC	0x637A	# <CJK>
0xB1CD	0x655D	# <CJK>
0xB1CE	0x6556	# <CJK>
0xB1CF	0x6551	# <CJK>
0xB1D0	0x6559	# <CJK>
0xB1D1	0x6557	# <CJK>
0xB1D2	0x555F	# <CJK>
0xB1D3	0x654F	# <CJK>
0xB1D4	0x6558	# <CJK>
0xB1D5	0x6555	# <CJK>
0xB1D6	0x6554	# <CJK>
0xB1D7	0x659C	# <CJK>
0xB1D8	0x659B	# <CJK>
0xB1D9	0x65AC	# <CJK>
0xB1DA	0x65CF	# <CJK>
0xB1DB	0x65CB	# <CJK>
0xB1DC	0x65CC	# <CJK>
0xB1DD	0x65CE	# <CJK>
0xB1DE	0x665D	# <CJK>
0xB1DF	0x665A	# <CJK>
0xB1E0	0x6664	# <CJK>
0xB1E1	0x6668	# <CJK>
0xB1E2	0x6666	# <CJK>
0xB1E3	0x665E	# <CJK>
0xB1E4	0x66F9	# <CJK>
0xB1E5	0x52D7	# <CJK>
0xB1E6	0x671B	# <CJK>
0xB1E7	0x6881	# <CJK>
0xB1E8	0x68AF	# <CJK>
0xB1E9	0x68A2	# <CJK>
0xB1EA	0x6893	# <CJK>
0xB1EB	0x68B5	# <CJK>
0xB1EC	0x687F	# <CJK>
0xB1ED	0x6876	# <CJK>
0xB1EE	0x68B1	# <CJK>
0xB1EF	0x68A7	# <CJK>
0xB1F0	0x6897	# <CJK>
0xB1F1	0x68B0	# <CJK>
0xB1F2	0x6883	# <CJK>
0xB1F3	0x68C4	# <CJK>
0xB1F4	0x68AD	# <CJK>
0xB1F5	0x6886	# <CJK>
0xB1F6	0x6885	# <CJK>
0xB1F7	0x6894	# <CJK>
0xB1F8	0x689D	# <CJK>
0xB1F9	0x68A8	# <CJK>
0xB1FA	0x689F	# <CJK>
0xB1FB	0x68A1	# <CJK>
0xB1FC	0x6882	# <CJK>
0xB1FD	0x6B32	# <CJK>
0xB1FE	0x6BBA	# <CJK>
0xB240	0x6BEB	# <CJK>
0xB241	0x6BEC	# <CJK>
0xB242	0x6C2B	# <CJK>
0xB243	0x6D8E	# <CJK>
0xB244	0x6DBC	# <CJK>
0xB245	0x6DF3	# <CJK>
0xB246	0x6DD9	# <CJK>
0xB247	0x6DB2	# <CJK>
0xB248	0x6DE1	# <CJK>
0xB249	0x6DCC	# <CJK>
0xB24A	0x6DE4	# <CJK>
0xB24B	0x6DFB	# <CJK>
0xB24C	0x6DFA	# <CJK>
0xB24D	0x6E05	# <CJK>
0xB24E	0x6DC7	# <CJK>
0xB24F	0x6DCB	# <CJK>
0xB250	0x6DAF	# <CJK>
0xB251	0x6DD1	# <CJK>
0xB252	0x6DAE	# <CJK>
0xB253	0x6DDE	# <CJK>
0xB254	0x6DF9	# <CJK>
0xB255	0x6DB8	# <CJK>
0xB256	0x6DF7	# <CJK>
0xB257	0x6DF5	# <CJK>
0xB258	0x6DC5	# <CJK>
0xB259	0x6DD2	# <CJK>
0xB25A	0x6E1A	# <CJK>
0xB25B	0x6DB5	# <CJK>
0xB25C	0x6DDA	# <CJK>
0xB25D	0x6DEB	# <CJK>
0xB25E	0x6DD8	# <CJK>
0xB25F	0x6DEA	# <CJK>
0xB260	0x6DF1	# <CJK>
0xB261	0x6DEE	# <CJK>
0xB262	0x6DE8	# <CJK>
0xB263	0x6DC6	# <CJK>
0xB264	0x6DC4	# <CJK>
0xB265	0x6DAA	# <CJK>
0xB266	0x6DEC	# <CJK>
0xB267	0x6DBF	# <CJK>
0xB268	0x6DE6	# <CJK>
0xB269	0x70F9	# <CJK>
0xB26A	0x7109	# <CJK>
0xB26B	0x710A	# <CJK>
0xB26C	0x70FD	# <CJK>
0xB26D	0x70EF	# <CJK>
0xB26E	0x723D	# <CJK>
0xB26F	0x727D	# <CJK>
0xB270	0x7281	# <CJK>
0xB271	0x731C	# <CJK>
0xB272	0x731B	# <CJK>
0xB273	0x7316	# <CJK>
0xB274	0x7313	# <CJK>
0xB275	0x7319	# <CJK>
0xB276	0x7387	# <CJK>
0xB277	0x7405	# <CJK>
0xB278	0x740A	# <CJK>
0xB279	0x7403	# <CJK>
0xB27A	0x7406	# <CJK>
0xB27B	0x73FE	# <CJK>
0xB27C	0x740D	# <CJK>
0xB27D	0x74E0	# <CJK>
0xB27E	0x74F6	# <CJK>
0xB2A1	0x74F7	# <CJK>
0xB2A2	0x751C	# <CJK>
0xB2A3	0x7522	# <CJK>
