#
# $FreeBSD$
#
#	Name:             eucCN-80 to Unicode table (complete, hex format)
#	Based on the GB2312.TXT
#
#	General notes:
#
#	The following algorithms can be used to change the hex form
#		of GB2312 to other standard forms:
#
#		To change hex to EUC form, add 0x8080
#
0xA1A1	0x3000	# IDEOGRAPHIC SPACE
0xA6C9	0x03B9	# GREEK SMALL LETTER IOTA
0xA6CA	0x03BA	# GREEK SMALL LETTER KAPPA
0xA6CB	0x03BB	# GREEK SMALL LETTER LAMDA
0xA6CC	0x03BC	# GREEK SMALL LETTER MU
0xA6CD	0x03BD	# GREEK SMALL LETTER NU
0xA6CE	0x03BE	# GREEK SMALL LETTER XI
0xA6CF	0x03BF	# GREEK SMALL LETTER OMICRON
0xA6D0	0x03C0	# GREEK SMALL LETTER PI
0xA6D1	0x03C1	# GREEK SMALL LETTER RHO
0xA6D2	0x03C3	# GREEK SMALL LETTER SIGMA
0xA6D3	0x03C4	# GREEK SMALL LETTER TAU
0xA6D4	0x03C5	# GREEK SMALL LETTER UPSILON
0xA6D5	0x03C6	# GREEK SMALL LETTER PHI
0xA6D6	0x03C7	# GREEK SMALL LETTER CHI
0xA6D7	0x03C8	# GREEK SMALL LETTER PSI
0xA6D8	0x03C9	# GREEK SMALL LETTER OMEGA
0xA7A1	0x0410	# CYRILLIC CAPITAL LETTER A
0xA7A2	0x0411	# CYRILLIC CAPITAL LETTER BE
0xA7A3	0x0412	# CYRILLIC CAPITAL LETTER VE
0xA7A4	0x0413	# CYRILLIC CAPITAL LETTER GHE
0xA7A5	0x0414	# CYRILLIC CAPITAL LETTER DE
0xA7A6	0x0415	# CYRILLIC CAPITAL LETTER IE
0xA7A7	0x0401	# CYRILLIC CAPITAL LETTER IO
0xA7A8	0x0416	# CYRILLIC CAPITAL LETTER ZHE
0xA7A9	0x0417	# CYRILLIC CAPITAL LETTER ZE
0xA7AA	0x0418	# CYRILLIC CAPITAL LETTER I
0xA7AB	0x0419	# CYRILLIC CAPITAL LETTER SHORT I
0xA7AC	0x041A	# CYRILLIC CAPITAL LETTER KA
0xA7AD	0x041B	# CYRILLIC CAPITAL LETTER EL
0xA7AE	0x041C	# CYRILLIC CAPITAL LETTER EM
0xA7AF	0x041D	# CYRILLIC CAPITAL LETTER EN
0xA7B0	0x041E	# CYRILLIC CAPITAL LETTER O
0xA7B1	0x041F	# CYRILLIC CAPITAL LETTER PE
0xA7B2	0x0420	# CYRILLIC CAPITAL LETTER ER
0xA7B3	0x0421	# CYRILLIC CAPITAL LETTER ES
0xA7B4	0x0422	# CYRILLIC CAPITAL LETTER TE
0xA7B5	0x0423	# CYRILLIC CAPITAL LETTER U
0xA7B6	0x0424	# CYRILLIC CAPITAL LETTER EF
0xA7B7	0x0425	# CYRILLIC CAPITAL LETTER HA
0xA7B8	0x0426	# CYRILLIC CAPITAL LETTER TSE
0xA7B9	0x0427	# CYRILLIC CAPITAL LETTER CHE
0xA7BA	0x0428	# CYRILLIC CAPITAL LETTER SHA
0xA7BB	0x0429	# CYRILLIC CAPITAL LETTER SHCHA
0xA7BC	0x042A	# CYRILLIC CAPITAL LETTER HARD SIGN
0xA7BD	0x042B	# CYRILLIC CAPITAL LETTER YERU
0xA7BE	0x042C	# CYRILLIC CAPITAL LETTER SOFT SIGN
0xA7BF	0x042D	# CYRILLIC CAPITAL LETTER E
0xA7C0	0x042E	# CYRILLIC CAPITAL LETTER YU
0xA7C1	0x042F	# CYRILLIC CAPITAL LETTER YA
0xA7D1	0x0430	# CYRILLIC SMALL LETTER A
0xA7D2	0x0431	# CYRILLIC SMALL LETTER BE
0xA7D3	0x0432	# CYRILLIC SMALL LETTER VE
0xA7D4	0x0433	# CYRILLIC SMALL LETTER GHE
0xA7D5	0x0434	# CYRILLIC SMALL LETTER DE
0xA7D6	0x0435	# CYRILLIC SMALL LETTER IE
0xA7D7	0x0451	# CYRILLIC SMALL LETTER IO
0xA7D8	0x0436	# CYRILLIC SMALL LETTER ZHE
0xA7D9	0x0437	# CYRILLIC SMALL LETTER ZE
0xA7DA	0x0438	# CYRILLIC SMALL LETTER I
0xA7DB	0x0439	# CYRILLIC SMALL LETTER SHORT I
0xA7DC	0x043A	# CYRILLIC SMALL LETTER KA
0xA7DD	0x043B	# CYRILLIC SMALL LETTER EL
0xA7DE	0x043C	# CYRILLIC SMALL LETTER EM
0xA7DF	0x043D	# CYRILLIC SMALL LETTER EN
0xA7E0	0x043E	# CYRILLIC SMALL LETTER O
0xA7E1	0x043F	# CYRILLIC SMALL LETTER PE
0xA7E2	0x0440	# CYRILLIC SMALL LETTER ER
0xA7E3	0x0441	# CYRILLIC SMALL LETTER ES
0xA7E4	0x0442	# CYRILLIC SMALL LETTER TE
0xA7E5	0x0443	# CYRILLIC SMALL LETTER U
0xA7E6	0x0444	# CYRILLIC SMALL LETTER EF
0xA7E7	0x0445	# CYRILLIC SMALL LETTER HA
0xA7E8	0x0446	# CYRILLIC SMALL LETTER TSE
0xA7E9	0x0447	# CYRILLIC SMALL LETTER CHE
0xA7EA	0x0448	# CYRILLIC SMALL LETTER SHA
0xA7EB	0x0449	# CYRILLIC SMALL LETTER SHCHA
0xA7EC	0x044A	# CYRILLIC SMALL LETTER HARD SIGN
0xA7ED	0x044B	# CYRILLIC SMALL LETTER YERU
0xA7EE	0x044C	# CYRILLIC SMALL LETTER SOFT SIGN
0xA7EF	0x044D	# CYRILLIC SMALL LETTER E
0xA7F0	0x044E	# CYRILLIC SMALL LETTER YU
0xA7F1	0x044F	# CYRILLIC SMALL LETTER YA
0xA8A1	0x0101	# LATIN SMALL LETTER A WITH MACRON
0xA8A2	0x00E1	# LATIN SMALL LETTER A WITH ACUTE
0xA8A3	0x01CE	# LATIN SMALL LETTER A WITH CARON
0xA8A4	0x00E0	# LATIN SMALL LETTER A WITH GRAVE
0xA8A5	0x0113	# LATIN SMALL LETTER E WITH MACRON
0xA8A6	0x00E9	# LATIN SMALL LETTER E WITH ACUTE
0xA8A7	0x011B	# LATIN SMALL LETTER E WITH CARON
0xA8A8	0x00E8	# LATIN SMALL LETTER E WITH GRAVE
0xA8A9	0x012B	# LATIN SMALL LETTER I WITH MACRON
0xA8AA	0x00ED	# LATIN SMALL LETTER I WITH ACUTE
0xA8AB	0x01D0	# LATIN SMALL LETTER I WITH CARON
0xA8AC	0x00EC	# LATIN SMALL LETTER I WITH GRAVE
0xA8AD	0x014D	# LATIN SMALL LETTER O WITH MACRON
0xA8AE	0x00F3	# LATIN SMALL LETTER O WITH ACUTE
0xA8AF	0x01D2	# LATIN SMALL LETTER O WITH CARON
0xA8B0	0x00F2	# LATIN SMALL LETTER O WITH GRAVE
0xA8B1	0x016B	# LATIN SMALL LETTER U WITH MACRON
0xA8B2	0x00FA	# LATIN SMALL LETTER U WITH ACUTE
0xA8B3	0x01D4	# LATIN SMALL LETTER U WITH CARON
0xA8B4	0x00F9	# LATIN SMALL LETTER U WITH GRAVE
0xA8B5	0x01D6	# LATIN SMALL LETTER U WITH DIAERESIS AND MACRON
0xA8B6	0x01D8	# LATIN SMALL LETTER U WITH DIAERESIS AND ACUTE
0xA8B7	0x01DA	# LATIN SMALL LETTER U WITH DIAERESIS AND CARON
0xA8B8	0x01DC	# LATIN SMALL LETTER U WITH DIAERESIS AND GRAVE
0xA8B9	0x00FC	# LATIN SMALL LETTER U WITH DIAERESIS
0xA8BA	0x00EA	# LATIN SMALL LETTER E WITH CIRCUMFLEX
0xA8C5	0x3105	# BOPOMOFO LETTER B
0xA8C6	0x3106	# BOPOMOFO LETTER P
0xA8C7	0x3107	# BOPOMOFO LETTER M
0xA8C8	0x3108	# BOPOMOFO LETTER F
0xA8C9	0x3109	# BOPOMOFO LETTER D
0xA8CA	0x310A	# BOPOMOFO LETTER T
0xA8CB	0x310B	# BOPOMOFO LETTER N
0xA8CC	0x310C	# BOPOMOFO LETTER L
0xA8CD	0x310D	# BOPOMOFO LETTER G
0xA8CE	0x310E	# BOPOMOFO LETTER K
0xA8CF	0x310F	# BOPOMOFO LETTER H
0xA8D0	0x3110	# BOPOMOFO LETTER J
0xA8D1	0x3111	# BOPOMOFO LETTER Q
0xA8D2	0x3112	# BOPOMOFO LETTER X
0xA8D3	0x3113	# BOPOMOFO LETTER ZH
0xA8D4	0x3114	# BOPOMOFO LETTER CH
0xA8D5	0x3115	# BOPOMOFO LETTER SH
0xA8D6	0x3116	# BOPOMOFO LETTER R
0xA8D7	0x3117	# BOPOMOFO LETTER Z
0xA8D8	0x3118	# BOPOMOFO LETTER C
0xA8D9	0x3119	# BOPOMOFO LETTER S
0xA8DA	0x311A	# BOPOMOFO LETTER A
0xA8DB	0x311B	# BOPOMOFO LETTER O
0xA8DC	0x311C	# BOPOMOFO LETTER E
0xA8DD	0x311D	# BOPOMOFO LETTER EH
0xA8DE	0x311E	# BOPOMOFO LETTER AI
0xA8DF	0x311F	# BOPOMOFO LETTER EI
0xA8E0	0x3120	# BOPOMOFO LETTER AU
0xA8E1	0x3121	# BOPOMOFO LETTER OU
0xA8E2	0x3122	# BOPOMOFO LETTER AN
0xA8E3	0x3123	# BOPOMOFO LETTER EN
0xA8E4	0x3124	# BOPOMOFO LETTER ANG
0xA8E5	0x3125	# BOPOMOFO LETTER ENG
0xA8E6	0x3126	# BOPOMOFO LETTER ER
0xA8E7	0x3127	# BOPOMOFO LETTER I
0xA8E8	0x3128	# BOPOMOFO LETTER U
0xA8E9	0x3129	# BOPOMOFO LETTER IU
0xA9A4	0x2500	# BOX DRAWINGS LIGHT HORIZONTAL
0xA9A5	0x2501	# BOX DRAWINGS HEAVY HORIZONTAL
0xA9A6	0x2502	# BOX DRAWINGS LIGHT VERTICAL
0xA9A7	0x2503	# BOX DRAWINGS HEAVY VERTICAL
0xA9A8	0x2504	# BOX DRAWINGS LIGHT TRIPLE DASH HORIZONTAL
0xA9A9	0x2505	# BOX DRAWINGS HEAVY TRIPLE DASH HORIZONTAL
0xA9AA	0x2506	# BOX DRAWINGS LIGHT TRIPLE DASH VERTICAL
0xA9AB	0x2507	# BOX DRAWINGS HEAVY TRIPLE DASH VERTICAL
0xA9AC	0x2508	# BOX DRAWINGS LIGHT QUADRUPLE DASH HORIZONTAL
0xA9AD	0x2509	# BOX DRAWINGS HEAVY QUADRUPLE DASH HORIZONTAL
0xA9AE	0x250A	# BOX DRAWINGS LIGHT QUADRUPLE DASH VERTICAL
0xA9AF	0x250B	# BOX DRAWINGS HEAVY QUADRUPLE DASH VERTICAL
0xA9B0	0x250C	# BOX DRAWINGS LIGHT DOWN AND RIGHT
0xA9B1	0x250D	# BOX DRAWINGS DOWN LIGHT AND RIGHT HEAVY
0xA9B2	0x250E	# BOX DRAWINGS DOWN HEAVY AND RIGHT LIGHT
0xA9B3	0x250F	# BOX DRAWINGS HEAVY DOWN AND RIGHT
0xA9B4	0x2510	# BOX DRAWINGS LIGHT DOWN AND LEFT
0xA9B5	0x2511	# BOX DRAWINGS DOWN LIGHT AND LEFT HEAVY
0xA9B6	0x2512	# BOX DRAWINGS DOWN HEAVY AND LEFT LIGHT
0xA9B7	0x2513	# BOX DRAWINGS HEAVY DOWN AND LEFT
0xA9B8	0x2514	# BOX DRAWINGS LIGHT UP AND RIGHT
0xA9B9	0x2515	# BOX DRAWINGS UP LIGHT AND RIGHT HEAVY
0xA9BA	0x2516	# BOX DRAWINGS UP HEAVY AND RIGHT LIGHT
0xA9BB	0x2517	# BOX DRAWINGS HEAVY UP AND RIGHT
0xA9BC	0x2518	# BOX DRAWINGS LIGHT UP AND LEFT
0xA9BD	0x2519	# BOX DRAWINGS UP LIGHT AND LEFT HEAVY
0xA9BE	0x251A	# BOX DRAWINGS UP HEAVY AND LEFT LIGHT
0xA9BF	0x251B	# BOX DRAWINGS HEAVY UP AND LEFT
0xA9C0	0x251C	# BOX DRAWINGS LIGHT VERTICAL AND RIGHT
0xA9C1	0x251D	# BOX DRAWINGS VERTICAL LIGHT AND RIGHT HEAVY
0xA9C2	0x251E	# BOX DRAWINGS UP HEAVY AND RIGHT DOWN LIGHT
0xA9C3	0x251F	# BOX DRAWINGS DOWN HEAVY AND RIGHT UP LIGHT
0xA9C4	0x2520	# BOX DRAWINGS VERTICAL HEAVY AND RIGHT LIGHT
0xA9C5	0x2521	# BOX DRAWINGS DOWN LIGHT AND RIGHT UP HEAVY
0xA9C6	0x2522	# BOX DRAWINGS UP LIGHT AND RIGHT DOWN HEAVY
0xA9C7	0x2523	# BOX DRAWINGS HEAVY VERTICAL AND RIGHT
0xA9C8	0x2524	# BOX DRAWINGS LIGHT VERTICAL AND LEFT
0xA9C9	0x2525	# BOX DRAWINGS VERTICAL LIGHT AND LEFT HEAVY
0xA9CA	0x2526	# BOX DRAWINGS UP HEAVY AND LEFT DOWN LIGHT
0xA9CB	0x2527	# BOX DRAWINGS DOWN HEAVY AND LEFT UP LIGHT
0xA9CC	0x2528	# BOX DRAWINGS VERTICAL HEAVY AND LEFT LIGHT
0xA9CD	0x2529	# BOX DRAWINGS DOWN LIGHT AND LEFT UP HEAVY
0xA9CE	0x252A	# BOX DRAWINGS UP LIGHT AND LEFT DOWN HEAVY
0xA9CF	0x252B	# BOX DRAWINGS HEAVY VERTICAL AND LEFT
0xA9D0	0x252C	# BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
0xA9D1	0x252D	# BOX DRAWINGS LEFT HEAVY AND RIGHT DOWN LIGHT
0xA9D2	0x252E	# BOX DRAWINGS RIGHT HEAVY AND LEFT DOWN LIGHT
0xA9D3	0x252F	# BOX DRAWINGS DOWN LIGHT AND HORIZONTAL HEAVY
0xA9D4	0x2530	# BOX DRAWINGS DOWN HEAVY AND HORIZONTAL LIGHT
0xA9D5	0x2531	# BOX DRAWINGS RIGHT LIGHT AND LEFT DOWN HEAVY
0xA9D6	0x2532	# BOX DRAWINGS LEFT LIGHT AND RIGHT DOWN HEAVY
0xA9D7	0x2533	# BOX DRAWINGS HEAVY DOWN AND HORIZONTAL
0xA9D8	0x2534	# BOX DRAWINGS LIGHT UP AND HORIZONTAL
0xA9D9	0x2535	# BOX DRAWINGS LEFT HEAVY AND RIGHT UP LIGHT
0xA9DA	0x2536	# BOX DRAWINGS RIGHT HEAVY AND LEFT UP LIGHT
0xA9DB	0x2537	# BOX DRAWINGS UP LIGHT AND HORIZONTAL HEAVY
0xA9DC	0x2538	# BOX DRAWINGS UP HEAVY AND HORIZONTAL LIGHT
0xA9DD	0x2539	# BOX DRAWINGS RIGHT LIGHT AND LEFT UP HEAVY
0xA9DE	0x253A	# BOX DRAWINGS LEFT LIGHT AND RIGHT UP HEAVY
0xA9DF	0x253B	# BOX DRAWINGS HEAVY UP AND HORIZONTAL
0xA9E0	0x253C	# BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
0xA9E1	0x253D	# BOX DRAWINGS LEFT HEAVY AND RIGHT VERTICAL LIGHT
0xA9E2	0x253E	# BOX DRAWINGS RIGHT HEAVY AND LEFT VERTICAL LIGHT
0xA9E3	0x253F	# BOX DRAWINGS VERTICAL LIGHT AND HORIZONTAL HEAVY
0xA9E4	0x2540	# BOX DRAWINGS UP HEAVY AND DOWN HORIZONTAL LIGHT
0xA9E5	0x2541	# BOX DRAWINGS DOWN HEAVY AND UP HORIZONTAL LIGHT
0xA9E6	0x2542	# BOX DRAWINGS VERTICAL HEAVY AND HORIZONTAL LIGHT
0xA9E7	0x2543	# BOX DRAWINGS LEFT UP HEAVY AND RIGHT DOWN LIGHT
0xA9E8	0x2544	# BOX DRAWINGS RIGHT UP HEAVY AND LEFT DOWN LIGHT
0xA9E9	0x2545	# BOX DRAWINGS LEFT DOWN HEAVY AND RIGHT UP LIGHT
0xA9EA	0x2546	# BOX DRAWINGS RIGHT DOWN HEAVY AND LEFT UP LIGHT
0xA9EB	0x2547	# BOX DRAWINGS DOWN LIGHT AND UP HORIZONTAL HEAVY
0xA9EC	0x2548	# BOX DRAWINGS UP LIGHT AND DOWN HORIZONTAL HEAVY
0xA9ED	0x2549	# BOX DRAWINGS RIGHT LIGHT AND LEFT VERTICAL HEAVY
0xA9EE	0x254A	# BOX DRAWINGS LEFT LIGHT AND RIGHT VERTICAL HEAVY
0xA9EF	0x254B	# BOX DRAWINGS HEAVY VERTICAL AND HORIZONTAL
0xB0A1	0x554A	# <CJK>
0xB0A2	0x963F	# <CJK>
0xB0A3	0x57C3	# <CJK>
0xB0A4	0x6328	# <CJK>
0xB0A5	0x54CE	# <CJK>
0xB0A6	0x5509	# <CJK>
0xB0A7	0x54C0	# <CJK>
0xB0A8	0x7691	# <CJK>
0xB0A9	0x764C	# <CJK>
0xB0AA	0x853C	# <CJK>
0xB0AB	0x77EE	# <CJK>
0xB0AC	0x827E	# <CJK>
0xB0AD	0x788D	# <CJK>
0xB0AE	0x7231	# <CJK>
0xB0AF	0x9698	# <CJK>
0xB0B0	0x978D	# <CJK>
0xB0B1	0x6C28	# <CJK>
0xB0B2	0x5B89	# <CJK>
0xB0B3	0x4FFA	# <CJK>
0xB0B4	0x6309	# <CJK>
0xB0B5	0x6697	# <CJK>
0xB0B6	0x5CB8	# <CJK>
0xB0B7	0x80FA	# <CJK>
0xB0B8	0x6848	# <CJK>
0xB0B9	0x80AE	# <CJK>
0xB0BA	0x6602	# <CJK>
0xB0BB	0x76CE	# <CJK>
0xB0BC	0x51F9	# <CJK>
0xB0BD	0x6556	# <CJK>
0xB0BE	0x71AC	# <CJK>
0xB0BF	0x7FF1	# <CJK>
0xB0C0	0x8884	# <CJK>
0xB0C1	0x50B2	# <CJK>
0xB0C2	0x5965	# <CJK>
0xB0C3	0x61CA	# <CJK>
0xB0C4	0x6FB3	# <CJK>
0xB0C5	0x82AD	# <CJK>
0xB0C6	0x634C	# <CJK>
0xB0C7	0x6252	# <CJK>
0xB0C8	0x53ED	# <CJK>
0xB0C9	0x5427	# <CJK>
0xB0CA	0x7B06	# <CJK>
0xB0CB	0x516B	# <CJK>
0xB0CC	0x75A4	# <CJK>
0xB0CD	0x5DF4	# <CJK>
0xB0CE	0x62D4	# <CJK>
0xB0CF	0x8DCB	# <CJK>
0xB0D0	0x9776	# <CJK>
0xB0D1	0x628A	# <CJK>
0xB0D2	0x8019	# <CJK>
0xB0D3	0x575D	# <CJK>
0xB0D4	0x9738	# <CJK>
0xB0D5	0x7F62	# <CJK>
0xB0D6	0x7238	# <CJK>
0xB0D7	0x767D	# <CJK>
0xB0D8	0x67CF	# <CJK>
0xB0D9	0x767E	# <CJK>
0xB0DA	0x6446	# <CJK>
0xB0DB	0x4F70	# <CJK>
0xB0DC	0x8D25	# <CJK>
0xB0DD	0x62DC	# <CJK>
0xB0DE	0x7A17	# <CJK>
0xB0DF	0x6591	# <CJK>
0xB0E0	0x73ED	# <CJK>
0xB0E1	0x642C	# <CJK>
0xB0E2	0x6273	# <CJK>
0xB0E3	0x822C	# <CJK>
0xB0E4	0x9881	# <CJK>
0xB0E5	0x677F	# <CJK>
0xB0E6	0x7248	# <CJK>
0xB0E7	0x626E	# <CJK>
0xB0E8	0x62CC	# <CJK>
0xB0E9	0x4F34	# <CJK>
0xB0EA	0x74E3	# <CJK>
0xB0EB	0x534A	# <CJK>
0xB0EC	0x529E	# <CJK>
0xB0ED	0x7ECA	# <CJK>
0xB0EE	0x90A6	# <CJK>
0xB0EF	0x5E2E	# <CJK>
0xB0F0	0x6886	# <CJK>
0xB0F1	0x699C	# <CJK>
0xB0F2	0x8180	# <CJK>
0xB0F3	0x7ED1	# <CJK>
0xB0F4	0x68D2	# <CJK>
0xB0F5	0x78C5	# <CJK>
0xB0F6	0x868C	# <CJK>
0xB0F7	0x9551	# <CJK>
0xB0F8	0x508D	# <CJK>
0xB0F9	0x8C24	# <CJK>
0xB0FA	0x82DE	# <CJK>
0xB0FB	0x80DE	# <CJK>
0xB0FC	0x5305	# <CJK>
0xB0FD	0x8912	# <CJK>
0xB0FE	0x5265	# <CJK>
0xB1A1	0x8584	# <CJK>
0xB1A2	0x96F9	# <CJK>
0xB1A3	0x4FDD	# <CJK>
0xB1A4	0x5821	# <CJK>
0xB1A5	0x9971	# <CJK>
0xB1A6	0x5B9D	# <CJK>
0xB1A7	0x62B1	# <CJK>
0xB1A8	0x62A5	# <CJK>
0xB1A9	0x66B4	# <CJK>
0xB1AA	0x8C79	# <CJK>
0xB1AB	0x9C8D	# <CJK>
0xB1AC	0x7206	# <CJK>
0xB1AD	0x676F	# <CJK>
0xB1AE	0x7891	# <CJK>
0xB1AF	0x60B2	# <CJK>
0xB1B0	0x5351	# <CJK>
0xB1B1	0x5317	# <CJK>
0xB1B2	0x8F88	# <CJK>
0xB1B3	0x80CC	# <CJK>
0xB1B4	0x8D1D	# <CJK>
0xB1B5	0x94A1	# <CJK>
0xB1B6	0x500D	# <CJK>
0xB1B7	0x72C8	# <CJK>
0xB1B8	0x5907	# <CJK>
0xB1B9	0x60EB	# <CJK>
0xB1BA	0x7119	# <CJK>
0xB1BB	0x88AB	# <CJK>
0xB1BC	0x5954	# <CJK>
0xB1BD	0x82EF	# <CJK>
0xB1BE	0x672C	# <CJK>
0xB1BF	0x7B28	# <CJK>
0xB1C0	0x5D29	# <CJK>
0xB1C1	0x7EF7	# <CJK>
0xB1C2	0x752D	# <CJK>
0xB1C3	0x6CF5	# <CJK>
0xB1C4	0x8E66	# <CJK>
0xB1C5	0x8FF8	# <CJK>
0xB1C6	0x903C	# <CJK>
0xB1C7	0x9F3B	# <CJK>
0xB1C8	0x6BD4	# <CJK>
0xB1C9	0x9119	# <CJK>
0xB1CA	0x7B14	# <CJK>
0xB1CB	0x5F7C	# <CJK>
0xB1CC	0x78A7	# <CJK>
0xB1CD	0x84D6	# <CJK>
0xB1CE	0x853D	# <CJK>
0xB1CF	0x6BD5	# <CJK>
0xB1D0	0x6BD9	# <CJK>
0xB1D1	0x6BD6	# <CJK>
0xB1D2	0x5E01	# <CJK>
0xB1D3	0x5E87	# <CJK>
0xB1D4	0x75F9	# <CJK>
0xB1D5	0x95ED	# <CJK>
0xB1D6	0x655D	# <CJK>
0xB1D7	0x5F0A	# <CJK>
0xB1D8	0x5FC5	# <CJK>
0xB1D9	0x8F9F	# <CJK>
0xB1DA	0x58C1	# <CJK>
0xB1DB	0x81C2	# <CJK>
0xB1DC	0x907F	# <CJK>
0xB1DD	0x965B	# <CJK>
0xB1DE	0x97AD	# <CJK>
0xB1DF	0x8FB9	# <CJK>
0xB1E0	0x7F16	# <CJK>
0xB1E1	0x8D2C	# <CJK>
0xB1E2	0x6241	# <CJK>
0xB1E3	0x4FBF	# <CJK>
0xB1E4	0x53D8	# <CJK>
0xB1E5	0x535E	# <CJK>
0xB1E6	0x8FA8	# <CJK>
0xB1E7	0x8FA9	# <CJK>
0xB1E8	0x8FAB	# <CJK>
0xB1E9	0x904D	# <CJK>
0xB1EA	0x6807	# <CJK>
0xB1EB	0x5F6A	# <CJK>
0xB1EC	0x8198	# <CJK>
0xB1ED	0x8868	# <CJK>
0xB1EE	0x9CD6	# <CJK>
0xB1EF	0x618B	# <CJK>
0xB1F0	0x522B	# <CJK>
0xB1F1	0x762A	# <CJK>
0xB1F2	0x5F6C	# <CJK>
0xB1F3	0x658C	# <CJK>
0xB1F4	0x6FD2	# <CJK>
0xB1F5	0x6EE8	# <CJK>
0xB1F6	0x5BBE	# <CJK>
0xB1F7	0x6448	# <CJK>
0xB1F8	0x5175	# <CJK>
0xB1F9	0x51B0	# <CJK>
0xB1FA	0x67C4	# <CJK>
0xB1FB	0x4E19	# <CJK>
0xB1FC	0x79C9	# <CJK>
0xB1FD	0x997C	# <CJK>
0xB1FE	0x70B3	# <CJK>
0xB2A1	0x75C5	# <CJK>
0xB2A2	0x5E76	# <CJK>
0xB2A3	0x73BB	# <CJK>
0xB2A4	0x83E0	# <CJK>
0xB2A5	0x64AD	# <CJK>
0xB2A6	0x62E8	# <CJK>
0xB2A7	0x94B5	# <CJK>
0xB2A8	0x6CE2	# <CJK>
0xB2A9	0x535A	# <CJK>
0xB2AA	0x52C3	# <CJK>
0xB2AB	0x640F	# <CJK>
0xB2AC	0x94C2	# <CJK>
0xB2AD	0x7B94	# <CJK>
0xB2AE	0x4F2F	# <CJK>
0xB2AF	0x5E1B	# <CJK>
0xB2B0	0x8236	# <CJK>
0xB2B1	0x8116	# <CJK>
0xB2B2	0x818A	# <CJK>
0xB2B3	0x6E24	# <CJK>
0xB2B4	0x6CCA	# <CJK>
0xB2B5	0x9A73	# <CJK>
0xB2B6	0x6355	# <CJK>
0xB2B7	0x535C	# <CJK>
0xB2B8	0x54FA	# <CJK>
0xB2B9	0x8865	# <CJK>
0xB2BA	0x57E0	# <CJK>
0xB2BB	0x4E0D	# <CJK>
0xB2BC	0x5E03	# <CJK>
0xB2BD	0x6B65	# <CJK>
0xB2BE	0x7C3F	# <CJK>
0xB2BF	0x90E8	# <CJK>
0xB2C0	0x6016	# <CJK>
0xB2C1	0x64E6	# <CJK>
0xB2C2	0x731C	# <CJK>
0xB2C3	0x88C1	# <CJK>
0xB2C4	0x6750	# <CJK>
0xB2C5	0x624D	# <CJK>
0xB2C6	0x8D22	# <CJK>
0xB2C7	0x776C	# <CJK>
0xB2C8	0x8E29	# <CJK>
0xB2C9	0x91C7	# <CJK>
0xB2CA	0x5F69	# <CJK>
0xB2CB	0x83DC	# <CJK>
0xB2CC	0x8521	# <CJK>
0xB2CD	0x9910	# <CJK>
0xB2CE	0x53C2	# <CJK>
0xB2CF	0x8695	# <CJK>
0xB2D0	0x6B8B	# <CJK>
0xB2D1	0x60ED	# <CJK>
0xB2D2	0x60E8	# <CJK>
0xB2D3	0x707F	# <CJK>
0xB2D4	0x82CD	# <CJK>
0xB2D5	0x8231	# <CJK>
0xB2D6	0x4ED3	# <CJK>
0xB2D7	0x6CA7	# <CJK>
0xB2D8	0x85CF	# <CJK>
0xB2D9	0x64CD	# <CJK>
0xB2DA	0x7CD9	# <CJK>
0xB2DB	0x69FD	# <CJK>
0xB2DC	0x66F9	# <CJK>
0xB2DD	0x8349	# <CJK>
0xB2DE	0x5395	# <CJK>
0xB2DF	0x7B56	# <CJK>
0xB2E0	0x4FA7	# <CJK>
0xB2E1	0x518C	# <CJK>
0xB2E2	0x6D4B	# <CJK>
0xB2E3	0x5C42	# <CJK>
0xB2E4	0x8E6D	# <CJK>
0xB2E5	0x63D2	# <CJK>
0xB2E6	0x53C9	# <CJK>
0xB2E7	0x832C	# <CJK>
0xB2E8	0x8336	# <CJK>
0xB2E9	0x67E5	# <CJK>
0xB2EA	0x78B4	# <CJK>
0xB2EB	0x643D	# <CJK>
0xB2EC	0x5BDF	# <CJK>
0xB2ED	0x5C94	# <CJK>
0xB2EE	0x5DEE	# <CJK>
0xB2EF	0x8BE7	# <CJK>
0xB2F0	0x62C6	# <CJK>
0xB2F1	0x67F4	# <CJK>
0xB2F2	0x8C7A	# <CJK>
0xB2F3	0x6400	# <CJK>
0xB2F4	0x63BA	# <CJK>
0xB2F5	0x8749	# <CJK>
0xB2F6	0x998B	# <CJK>
0xB2F7	0x8C17	# <CJK>
0xB2F8	0x7F20	# <CJK>
0xB2F9	0x94F2	# <CJK>
0xB2FA	0x4EA7	# <CJK>
0xB2FB	0x9610	# <CJK>
0xB2FC	0x98A4	# <CJK>
0xB2FD	0x660C	# <CJK>
0xB2FE	0x7316	# <CJK>
0xB3A1	0x573A	# <CJK>
0xB3A2	0x5C1D	# <CJK>
0xB3A3	0x5E38	# <CJK>
0xB3A4	0x957F	# <CJK>
0xB3A5	0x507F	# <CJK>
0xB3A6	0x80A0	# <CJK>
0xB3A7	0x5382	# <CJK>
0xB3A8	0x655E	# <CJK>
0xB3A9	0x7545	# <CJK>
0xB3AA	0x5531	# <CJK>
0xB3AB	0x5021	# <CJK>
