#
# $FreeBSD$
#
#	Name:             GB2312-80 to Unicode table (complete, hex format)
#	Unicode version:  3.0
#	Table version:    1.0
#	Table format:     Format A
#	Date:             1999 October 8
#	Author:           Ken Whistler <kenw@sybase.com>
#       Original authors: Glenn Adams, John H. Jenkin <jenkins@apple.com>
#
#	Copyright (c) 1991-1999 Unicode, Inc.  All Rights reserved.
#
#	This file is provided as-is by Unicode, Inc. (The Unicode Consortium).
#	No claims are made as to fitness for any particular purpose.  No
#	warranties of any kind are expressed or implied.  The recipient
#	agrees to determine applicability of information provided.  If this
#	file has been provided on optical media by Unicode, Inc., the sole
#	remedy for any claim will be exchange of defective media within 90
#	days of receipt.
#
#	Unicode, Inc. hereby grants the right to freely use the information
#	supplied in this file in the creation of products supporting the
#	Unicode Standard, and to make copies of this file in any form for
#	internal or external distribution as long as this notice remains
#	attached.
#
#	General notes:
#
#	This table contains the datathe Unicode Consortium currently has on how
#       GB2312-80 characters map into Unicode.
#
#	Format:  Three tab-separated columns
#		 Column #1 is the GB2312 code (in hex as 0xXXXX)
#		 Column #2 is the Unicode (in hex as 0xXXXX)
#		 Column #3 the Unicode name (follows a comment sign, '#')
#					The official names for Unicode characters U+4E00
#					to U+9FA5, inclusive, is "CJK UNIFIED IDEOGRAPH-XXXX",
#					where XXXX is the code point.  Including all these
#					names in this file increases its size substantially
#					and needlessly.  The token "<CJK>" is used for the
#					name of these characters.  If necessary, it can be
#					expanded algorithmically by a parser or editor.
#
#	The entries are in GB2312 order
#
#	The following algorithms can be used to change the hex form
#		of GB2312 to other standard forms:
#
#		To change hex to EUC form, add 0x8080
#		To change hex to kuten form, first subtract 0x2020.  Then
#			the high and low bytes correspond to the ku and ten of
#			the kuten form.  For example, 0x2121 -> 0x0101 -> 0101;
#			0x777E -> 0x575E -> 8794
#
#	Version history
#	1.0 version updates 0.0d2 version by correcting mapping for 0x212C
#             from U+2225 to U+2016.
#
#	Updated versions of this file may be found in:
#		<ftp://ftp.unicode.org/Public/MAPPINGS/>
#
#	Any comments or problems, contact <errata@unicode.orgm>
#	Please note that <errata@unicode.org> is an archival address;
#	notices will be checked, but do not expect an immediate response.
#
#
0x2121	0x3000	# IDEOGRAPHIC SPACE
0x2575	0x30F5	# KATAKANA LETTER SMALL KA
0x2576	0x30F6	# KATAKANA LETTER SMALL KE
0x2621	0x0391	# GREEK CAPITAL LETTER ALPHA
0x2622	0x0392	# GREEK CAPITAL LETTER BETA
0x2623	0x0393	# GREEK CAPITAL LETTER GAMMA
0x2624	0x0394	# GREEK CAPITAL LETTER DELTA
0x2625	0x0395	# GREEK CAPITAL LETTER EPSILON
0x2626	0x0396	# GREEK CAPITAL LETTER ZETA
0x2627	0x0397	# GREEK CAPITAL LETTER ETA
0x2628	0x0398	# GREEK CAPITAL LETTER THETA
0x2629	0x0399	# GREEK CAPITAL LETTER IOTA
0x262A	0x039A	# GREEK CAPITAL LETTER KAPPA
0x262B	0x039B	# GREEK CAPITAL LETTER LAMDA
0x262C	0x039C	# GREEK CAPITAL LETTER MU
0x262D	0x039D	# GREEK CAPITAL LETTER NU
0x262E	0x039E	# GREEK CAPITAL LETTER XI
0x262F	0x039F	# GREEK CAPITAL LETTER OMICRON
0x2630	0x03A0	# GREEK CAPITAL LETTER PI
0x2631	0x03A1	# GREEK CAPITAL LETTER RHO
0x2632	0x03A3	# GREEK CAPITAL LETTER SIGMA
0x2633	0x03A4	# GREEK CAPITAL LETTER TAU
0x2634	0x03A5	# GREEK CAPITAL LETTER UPSILON
0x2635	0x03A6	# GREEK CAPITAL LETTER PHI
0x2636	0x03A7	# GREEK CAPITAL LETTER CHI
0x2637	0x03A8	# GREEK CAPITAL LETTER PSI
0x2638	0x03A9	# GREEK CAPITAL LETTER OMEGA
0x2641	0x03B1	# GREEK SMALL LETTER ALPHA
0x2642	0x03B2	# GREEK SMALL LETTER BETA
0x2643	0x03B3	# GREEK SMALL LETTER GAMMA
0x2644	0x03B4	# GREEK SMALL LETTER DELTA
0x2645	0x03B5	# GREEK SMALL LETTER EPSILON
0x2646	0x03B6	# GREEK SMALL LETTER ZETA
0x2647	0x03B7	# GREEK SMALL LETTER ETA
0x2648	0x03B8	# GREEK SMALL LETTER THETA
0x2649	0x03B9	# GREEK SMALL LETTER IOTA
0x264A	0x03BA	# GREEK SMALL LETTER KAPPA
0x264B	0x03BB	# GREEK SMALL LETTER LAMDA
0x264C	0x03BC	# GREEK SMALL LETTER MU
0x264D	0x03BD	# GREEK SMALL LETTER NU
0x264E	0x03BE	# GREEK SMALL LETTER XI
0x264F	0x03BF	# GREEK SMALL LETTER OMICRON
0x2650	0x03C0	# GREEK SMALL LETTER PI
0x2651	0x03C1	# GREEK SMALL LETTER RHO
0x2652	0x03C3	# GREEK SMALL LETTER SIGMA
0x2653	0x03C4	# GREEK SMALL LETTER TAU
0x2654	0x03C5	# GREEK SMALL LETTER UPSILON
0x2655	0x03C6	# GREEK SMALL LETTER PHI
0x2656	0x03C7	# GREEK SMALL LETTER CHI
0x2657	0x03C8	# GREEK SMALL LETTER PSI
0x2658	0x03C9	# GREEK SMALL LETTER OMEGA
0x2721	0x0410	# CYRILLIC CAPITAL LETTER A
0x2722	0x0411	# CYRILLIC CAPITAL LETTER BE
0x2723	0x0412	# CYRILLIC CAPITAL LETTER VE
0x2724	0x0413	# CYRILLIC CAPITAL LETTER GHE
0x2725	0x0414	# CYRILLIC CAPITAL LETTER DE
0x2726	0x0415	# CYRILLIC CAPITAL LETTER IE
0x2727	0x0401	# CYRILLIC CAPITAL LETTER IO
0x2728	0x0416	# CYRILLIC CAPITAL LETTER ZHE
0x2729	0x0417	# CYRILLIC CAPITAL LETTER ZE
0x272A	0x0418	# CYRILLIC CAPITAL LETTER I
0x272B	0x0419	# CYRILLIC CAPITAL LETTER SHORT I
0x272C	0x041A	# CYRILLIC CAPITAL LETTER KA
0x272D	0x041B	# CYRILLIC CAPITAL LETTER EL
0x272E	0x041C	# CYRILLIC CAPITAL LETTER EM
0x272F	0x041D	# CYRILLIC CAPITAL LETTER EN
0x2730	0x041E	# CYRILLIC CAPITAL LETTER O
0x2731	0x041F	# CYRILLIC CAPITAL LETTER PE
0x2732	0x0420	# CYRILLIC CAPITAL LETTER ER
0x2733	0x0421	# CYRILLIC CAPITAL LETTER ES
0x2734	0x0422	# CYRILLIC CAPITAL LETTER TE
0x2735	0x0423	# CYRILLIC CAPITAL LETTER U
0x2736	0x0424	# CYRILLIC CAPITAL LETTER EF
0x2737	0x0425	# CYRILLIC CAPITAL LETTER HA
0x2738	0x0426	# CYRILLIC CAPITAL LETTER TSE
0x2739	0x0427	# CYRILLIC CAPITAL LETTER CHE
0x273A	0x0428	# CYRILLIC CAPITAL LETTER SHA
0x273B	0x0429	# CYRILLIC CAPITAL LETTER SHCHA
0x273C	0x042A	# CYRILLIC CAPITAL LETTER HARD SIGN
0x273D	0x042B	# CYRILLIC CAPITAL LETTER YERU
0x273E	0x042C	# CYRILLIC CAPITAL LETTER SOFT SIGN
0x273F	0x042D	# CYRILLIC CAPITAL LETTER E
0x2740	0x042E	# CYRILLIC CAPITAL LETTER YU
0x2741	0x042F	# CYRILLIC CAPITAL LETTER YA
0x2751	0x0430	# CYRILLIC SMALL LETTER A
0x2752	0x0431	# CYRILLIC SMALL LETTER BE
0x2753	0x0432	# CYRILLIC SMALL LETTER VE
0x2754	0x0433	# CYRILLIC SMALL LETTER GHE
0x2755	0x0434	# CYRILLIC SMALL LETTER DE
0x2756	0x0435	# CYRILLIC SMALL LETTER IE
0x2757	0x0451	# CYRILLIC SMALL LETTER IO
0x2758	0x0436	# CYRILLIC SMALL LETTER ZHE
0x2759	0x0437	# CYRILLIC SMALL LETTER ZE
0x275A	0x0438	# CYRILLIC SMALL LETTER I
0x275B	0x0439	# CYRILLIC SMALL LETTER SHORT I
0x275C	0x043A	# CYRILLIC SMALL LETTER KA
0x275D	0x043B	# CYRILLIC SMALL LETTER EL
0x275E	0x043C	# CYRILLIC SMALL LETTER EM
0x275F	0x043D	# CYRILLIC SMALL LETTER EN
0x2760	0x043E	# CYRILLIC SMALL LETTER O
0x2761	0x043F	# CYRILLIC SMALL LETTER PE
0x2762	0x0440	# CYRILLIC SMALL LETTER ER
0x2763	0x0441	# CYRILLIC SMALL LETTER ES
0x2764	0x0442	# CYRILLIC SMALL LETTER TE
0x2765	0x0443	# CYRILLIC SMALL LETTER U
0x2766	0x0444	# CYRILLIC SMALL LETTER EF
0x2767	0x0445	# CYRILLIC SMALL LETTER HA
0x2768	0x0446	# CYRILLIC SMALL LETTER TSE
0x2769	0x0447	# CYRILLIC SMALL LETTER CHE
0x276A	0x0448	# CYRILLIC SMALL LETTER SHA
0x276B	0x0449	# CYRILLIC SMALL LETTER SHCHA
0x276C	0x044A	# CYRILLIC SMALL LETTER HARD SIGN
0x276D	0x044B	# CYRILLIC SMALL LETTER YERU
0x276E	0x044C	# CYRILLIC SMALL LETTER SOFT SIGN
0x276F	0x044D	# CYRILLIC SMALL LETTER E
0x2770	0x044E	# CYRILLIC SMALL LETTER YU
0x2771	0x044F	# CYRILLIC SMALL LETTER YA
0x2821	0x0101	# LATIN SMALL LETTER A WITH MACRON
0x2822	0x00E1	# LATIN SMALL LETTER A WITH ACUTE
0x2823	0x01CE	# LATIN SMALL LETTER A WITH CARON
0x2824	0x00E0	# LATIN SMALL LETTER A WITH GRAVE
0x2825	0x0113	# LATIN SMALL LETTER E WITH MACRON
0x2826	0x00E9	# LATIN SMALL LETTER E WITH ACUTE
0x2827	0x011B	# LATIN SMALL LETTER E WITH CARON
0x2828	0x00E8	# LATIN SMALL LETTER E WITH GRAVE
0x2829	0x012B	# LATIN SMALL LETTER I WITH MACRON
0x282A	0x00ED	# LATIN SMALL LETTER I WITH ACUTE
0x282B	0x01D0	# LATIN SMALL LETTER I WITH CARON
0x282C	0x00EC	# LATIN SMALL LETTER I WITH GRAVE
0x282D	0x014D	# LATIN SMALL LETTER O WITH MACRON
0x282E	0x00F3	# LATIN SMALL LETTER O WITH ACUTE
0x282F	0x01D2	# LATIN SMALL LETTER O WITH CARON
0x2830	0x00F2	# LATIN SMALL LETTER O WITH GRAVE
0x2831	0x016B	# LATIN SMALL LETTER U WITH MACRON
0x2832	0x00FA	# LATIN SMALL LETTER U WITH ACUTE
0x2833	0x01D4	# LATIN SMALL LETTER U WITH CARON
0x2834	0x00F9	# LATIN SMALL LETTER U WITH GRAVE
0x2835	0x01D6	# LATIN SMALL LETTER U WITH DIAERESIS AND MACRON
0x2836	0x01D8	# LATIN SMALL LETTER U WITH DIAERESIS AND ACUTE
0x2837	0x01DA	# LATIN SMALL LETTER U WITH DIAERESIS AND CARON
0x2838	0x01DC	# LATIN SMALL LETTER U WITH DIAERESIS AND GRAVE
0x2839	0x00FC	# LATIN SMALL LETTER U WITH DIAERESIS
0x283A	0x00EA	# LATIN SMALL LETTER E WITH CIRCUMFLEX
0x2845	0x3105	# BOPOMOFO LETTER B
0x2846	0x3106	# BOPOMOFO LETTER P
0x2847	0x3107	# BOPOMOFO LETTER M
0x2848	0x3108	# BOPOMOFO LETTER F
0x2849	0x3109	# BOPOMOFO LETTER D
0x284A	0x310A	# BOPOMOFO LETTER T
0x284B	0x310B	# BOPOMOFO LETTER N
0x284C	0x310C	# BOPOMOFO LETTER L
0x284D	0x310D	# BOPOMOFO LETTER G
0x284E	0x310E	# BOPOMOFO LETTER K
0x284F	0x310F	# BOPOMOFO LETTER H
0x2850	0x3110	# BOPOMOFO LETTER J
0x2851	0x3111	# BOPOMOFO LETTER Q
0x2852	0x3112	# BOPOMOFO LETTER X
0x2853	0x3113	# BOPOMOFO LETTER ZH
0x2854	0x3114	# BOPOMOFO LETTER CH
0x2855	0x3115	# BOPOMOFO LETTER SH
0x2856	0x3116	# BOPOMOFO LETTER R
0x2857	0x3117	# BOPOMOFO LETTER Z
0x2858	0x3118	# BOPOMOFO LETTER C
0x2859	0x3119	# BOPOMOFO LETTER S
0x285A	0x311A	# BOPOMOFO LETTER A
0x285B	0x311B	# BOPOMOFO LETTER O
0x285C	0x311C	# BOPOMOFO LETTER E
0x285D	0x311D	# BOPOMOFO LETTER EH
0x285E	0x311E	# BOPOMOFO LETTER AI
0x285F	0x311F	# BOPOMOFO LETTER EI
0x2860	0x3120	# BOPOMOFO LETTER AU
0x2861	0x3121	# BOPOMOFO LETTER OU
0x2862	0x3122	# BOPOMOFO LETTER AN
0x2863	0x3123	# BOPOMOFO LETTER EN
0x2864	0x3124	# BOPOMOFO LETTER ANG
0x2865	0x3125	# BOPOMOFO LETTER ENG
0x2866	0x3126	# BOPOMOFO LETTER ER
0x2867	0x3127	# BOPOMOFO LETTER I
0x2868	0x3128	# BOPOMOFO LETTER U
0x2869	0x3129	# BOPOMOFO LETTER IU
0x2924	0x2500	# BOX DRAWINGS LIGHT HORIZONTAL
0x2925	0x2501	# BOX DRAWINGS HEAVY HORIZONTAL
0x2926	0x2502	# BOX DRAWINGS LIGHT VERTICAL
0x2927	0x2503	# BOX DRAWINGS HEAVY VERTICAL
0x2928	0x2504	# BOX DRAWINGS LIGHT TRIPLE DASH HORIZONTAL
0x2929	0x2505	# BOX DRAWINGS HEAVY TRIPLE DASH HORIZONTAL
0x292A	0x2506	# BOX DRAWINGS LIGHT TRIPLE DASH VERTICAL
0x292B	0x2507	# BOX DRAWINGS HEAVY TRIPLE DASH VERTICAL
0x292C	0x2508	# BOX DRAWINGS LIGHT QUADRUPLE DASH HORIZONTAL
0x292D	0x2509	# BOX DRAWINGS HEAVY QUADRUPLE DASH HORIZONTAL
0x292E	0x250A	# BOX DRAWINGS LIGHT QUADRUPLE DASH VERTICAL
0x292F	0x250B	# BOX DRAWINGS HEAVY QUADRUPLE DASH VERTICAL
0x2930	0x250C	# BOX DRAWINGS LIGHT DOWN AND RIGHT
0x2931	0x250D	# BOX DRAWINGS DOWN LIGHT AND RIGHT HEAVY
0x2932	0x250E	# BOX DRAWINGS DOWN HEAVY AND RIGHT LIGHT
0x2933	0x250F	# BOX DRAWINGS HEAVY DOWN AND RIGHT
0x2934	0x2510	# BOX DRAWINGS LIGHT DOWN AND LEFT
0x2935	0x2511	# BOX DRAWINGS DOWN LIGHT AND LEFT HEAVY
0x2936	0x2512	# BOX DRAWINGS DOWN HEAVY AND LEFT LIGHT
0x2937	0x2513	# BOX DRAWINGS HEAVY DOWN AND LEFT
0x2938	0x2514	# BOX DRAWINGS LIGHT UP AND RIGHT
0x2939	0x2515	# BOX DRAWINGS UP LIGHT AND RIGHT HEAVY
0x293A	0x2516	# BOX DRAWINGS UP HEAVY AND RIGHT LIGHT
0x293B	0x2517	# BOX DRAWINGS HEAVY UP AND RIGHT
0x293C	0x2518	# BOX DRAWINGS LIGHT UP AND LEFT
0x293D	0x2519	# BOX DRAWINGS UP LIGHT AND LEFT HEAVY
0x293E	0x251A	# BOX DRAWINGS UP HEAVY AND LEFT LIGHT
0x293F	0x251B	# BOX DRAWINGS HEAVY UP AND LEFT
0x2940	0x251C	# BOX DRAWINGS LIGHT VERTICAL AND RIGHT
0x2941	0x251D	# BOX DRAWINGS VERTICAL LIGHT AND RIGHT HEAVY
0x2942	0x251E	# BOX DRAWINGS UP HEAVY AND RIGHT DOWN LIGHT
0x2943	0x251F	# BOX DRAWINGS DOWN HEAVY AND RIGHT UP LIGHT
0x2944	0x2520	# BOX DRAWINGS VERTICAL HEAVY AND RIGHT LIGHT
0x2945	0x2521	# BOX DRAWINGS DOWN LIGHT AND RIGHT UP HEAVY
0x2946	0x2522	# BOX DRAWINGS UP LIGHT AND RIGHT DOWN HEAVY
0x2947	0x2523	# BOX DRAWINGS HEAVY VERTICAL AND RIGHT
0x2948	0x2524	# BOX DRAWINGS LIGHT VERTICAL AND LEFT
0x2949	0x2525	# BOX DRAWINGS VERTICAL LIGHT AND LEFT HEAVY
0x294A	0x2526	# BOX DRAWINGS UP HEAVY AND LEFT DOWN LIGHT
0x294B	0x2527	# BOX DRAWINGS DOWN HEAVY AND LEFT UP LIGHT
0x294C	0x2528	# BOX DRAWINGS VERTICAL HEAVY AND LEFT LIGHT
0x294D	0x2529	# BOX DRAWINGS DOWN LIGHT AND LEFT UP HEAVY
0x294E	0x252A	# BOX DRAWINGS UP LIGHT AND LEFT DOWN HEAVY
0x294F	0x252B	# BOX DRAWINGS HEAVY VERTICAL AND LEFT
0x2950	0x252C	# BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
0x2951	0x252D	# BOX DRAWINGS LEFT HEAVY AND RIGHT DOWN LIGHT
0x2952	0x252E	# BOX DRAWINGS RIGHT HEAVY AND LEFT DOWN LIGHT
0x2953	0x252F	# BOX DRAWINGS DOWN LIGHT AND HORIZONTAL HEAVY
0x2954	0x2530	# BOX DRAWINGS DOWN HEAVY AND HORIZONTAL LIGHT
0x2955	0x2531	# BOX DRAWINGS RIGHT LIGHT AND LEFT DOWN HEAVY
0x2956	0x2532	# BOX DRAWINGS LEFT LIGHT AND RIGHT DOWN HEAVY
0x2957	0x2533	# BOX DRAWINGS HEAVY DOWN AND HORIZONTAL
0x2958	0x2534	# BOX DRAWINGS LIGHT UP AND HORIZONTAL
0x2959	0x2535	# BOX DRAWINGS LEFT HEAVY AND RIGHT UP LIGHT
0x295A	0x2536	# BOX DRAWINGS RIGHT HEAVY AND LEFT UP LIGHT
0x295B	0x2537	# BOX DRAWINGS UP LIGHT AND HORIZONTAL HEAVY
0x295C	0x2538	# BOX DRAWINGS UP HEAVY AND HORIZONTAL LIGHT
0x295D	0x2539	# BOX DRAWINGS RIGHT LIGHT AND LEFT UP HEAVY
0x295E	0x253A	# BOX DRAWINGS LEFT LIGHT AND RIGHT UP HEAVY
0x295F	0x253B	# BOX DRAWINGS HEAVY UP AND HORIZONTAL
0x2960	0x253C	# BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
0x2961	0x253D	# BOX DRAWINGS LEFT HEAVY AND RIGHT VERTICAL LIGHT
0x2962	0x253E	# BOX DRAWINGS RIGHT HEAVY AND LEFT VERTICAL LIGHT
0x2963	0x253F	# BOX DRAWINGS VERTICAL LIGHT AND HORIZONTAL HEAVY
0x2964	0x2540	# BOX DRAWINGS UP HEAVY AND DOWN HORIZONTAL LIGHT
0x2965	0x2541	# BOX DRAWINGS DOWN HEAVY AND UP HORIZONTAL LIGHT
0x2966	0x2542	# BOX DRAWINGS VERTICAL HEAVY AND HORIZONTAL LIGHT
0x2967	0x2543	# BOX DRAWINGS LEFT UP HEAVY AND RIGHT DOWN LIGHT
0x2968	0x2544	# BOX DRAWINGS RIGHT UP HEAVY AND LEFT DOWN LIGHT
0x2969	0x2545	# BOX DRAWINGS LEFT DOWN HEAVY AND RIGHT UP LIGHT
0x296A	0x2546	# BOX DRAWINGS RIGHT DOWN HEAVY AND LEFT UP LIGHT
0x296B	0x2547	# BOX DRAWINGS DOWN LIGHT AND UP HORIZONTAL HEAVY
0x296C	0x2548	# BOX DRAWINGS UP LIGHT AND DOWN HORIZONTAL HEAVY
0x296D	0x2549	# BOX DRAWINGS RIGHT LIGHT AND LEFT VERTICAL HEAVY
0x296E	0x254A	# BOX DRAWINGS LEFT LIGHT AND RIGHT VERTICAL HEAVY
0x296F	0x254B	# BOX DRAWINGS HEAVY VERTICAL AND HORIZONTAL
0x3021	0x554A	# <CJK>
0x3022	0x963F	# <CJK>
0x3023	0x57C3	# <CJK>
0x3024	0x6328	# <CJK>
0x3025	0x54CE	# <CJK>
0x3026	0x5509	# <CJK>
0x3027	0x54C0	# <CJK>
0x3028	0x7691	# <CJK>
0x3029	0x764C	# <CJK>
0x302A	0x853C	# <CJK>
0x302B	0x77EE	# <CJK>
0x302C	0x827E	# <CJK>
0x302D	0x788D	# <CJK>
0x302E	0x7231	# <CJK>
0x302F	0x9698	# <CJK>
0x3030	0x978D	# <CJK>
0x3031	0x6C28	# <CJK>
0x3032	0x5B89	# <CJK>
0x3033	0x4FFA	# <CJK>
0x3034	0x6309	# <CJK>
0x3035	0x6697	# <CJK>
0x3036	0x5CB8	# <CJK>
0x3037	0x80FA	# <CJK>
0x3038	0x6848	# <CJK>
0x3039	0x80AE	# <CJK>
0x303A	0x6602	# <CJK>
0x303B	0x76CE	# <CJK>
0x303C	0x51F9	# <CJK>
0x303D	0x6556	# <CJK>
0x303E	0x71AC	# <CJK>
0x303F	0x7FF1	# <CJK>
0x3040	0x8884	# <CJK>
0x3041	0x50B2	# <CJK>
0x3042	0x5965	# <CJK>
0x3043	0x61CA	# <CJK>
0x3044	0x6FB3	# <CJK>
0x3045	0x82AD	# <CJK>
0x3046	0x634C	# <CJK>
0x3047	0x6252	# <CJK>
0x3048	0x53ED	# <CJK>
0x3049	0x5427	# <CJK>
0x304A	0x7B06	# <CJK>
0x304B	0x516B	# <CJK>
0x304C	0x75A4	# <CJK>
0x304D	0x5DF4	# <CJK>
0x304E	0x62D4	# <CJK>
0x304F	0x8DCB	# <CJK>
0x3050	0x9776	# <CJK>
0x3051	0x628A	# <CJK>
0x3052	0x8019	# <CJK>
0x3053	0x575D	# <CJK>
0x3054	0x9738	# <CJK>
0x3055	0x7F62	# <CJK>
0x3056	0x7238	# <CJK>
0x3057	0x767D	# <CJK>
0x3058	0x67CF	# <CJK>
0x3059	0x767E	# <CJK>
0x305A	0x6446	# <CJK>
0x305B	0x4F70	# <CJK>
0x305C	0x8D25	# <CJK>
0x305D	0x62DC	# <CJK>
0x305E	0x7A17	# <CJK>
0x305F	0x6591	# <CJK>
0x3060	0x73ED	# <CJK>
0x3061	0x642C	# <CJK>
0x3062	0x6273	# <CJK>
0x3063	0x822C	# <CJK>
0x3064	0x9881	# <CJK>
0x3065	0x677F	# <CJK>
0x3066	0x7248	# <CJK>
0x3067	0x626E	# <CJK>
0x3068	0x62CC	# <CJK>
0x3069	0x4F34	# <CJK>
0x306A	0x74E3	# <CJK>
0x306B	0x534A	# <CJK>
0x306C	0x529E	# <CJK>
0x306D	0x7ECA	# <CJK>
0x306E	0x90A6	# <CJK>
0x306F	0x5E2E	# <CJK>
0x3070	0x6886	# <CJK>
0x3071	0x699C	# <CJK>
0x3072	0x8180	# <CJK>
0x3073	0x7ED1	# <CJK>
0x3074	0x68D2	# <CJK>
0x3075	0x78C5	# <CJK>
0x3076	0x868C	# <CJK>
0x3077	0x9551	# <CJK>
0x3078	0x508D	# <CJK>
0x3079	0x8C24	# <CJK>
0x307A	0x82DE	# <CJK>
0x307B	0x80DE	# <CJK>
0x307C	0x5305	# <CJK>
0x307D	0x8912	# <CJK>
0x307E	0x5265	# <CJK>
0x3121	0x8584	# <CJK>
0x3122	0x96F9	# <CJK>
0x3123	0x4FDD	# <CJK>
0x3124	0x5821	# <CJK>
0x3125	0x9971	# <CJK>
0x3126	0x5B9D	# <CJK>
0x3127	0x62B1	# <CJK>
0x3128	0x62A5	# <CJK>
0x3129	0x66B4	# <CJK>
0x312A	0x8C79	# <CJK>
0x312B	0x9C8D	# <CJK>
0x312C	0x7206	# <CJK>
0x312D	0x676F	# <CJK>
0x312E	0x7891	# <CJK>
0x312F	0x60B2	# <CJK>
0x3130	0x5351	# <CJK>
0x3131	0x5317	# <CJK>
0x3132	0x8F88	# <CJK>
0x3133	0x80CC	# <CJK>
0x3134	0x8D1D	# <CJK>
0x3135	0x94A1	# <CJK>
0x3136	0x500D	# <CJK>
0x3137	0x72C8	# <CJK>
0x3138	0x5907	# <CJK>
0x3139	0x60EB	# <CJK>
0x313A	0x7119	# <CJK>
0x313B	0x88AB	# <CJK>
0x313C	0x5954	# <CJK>
0x313D	0x82EF	# <CJK>
0x313E	0x672C	# <CJK>
0x313F	0x7B28	# <CJK>
0x3140	0x5D29	# <CJK>
0x3141	0x7EF7	# <CJK>
0x3142	0x752D	# <CJK>
0x3143	0x6CF5	# <CJK>
0x3144	0x8E66	# <CJK>
0x3145	0x8FF8	# <CJK>
0x3146	0x903C	# <CJK>
0x3147	0x9F3B	# <CJK>
0x3148	0x6BD4	# <CJK>
0x3149	0x9119	# <CJK>
0x314A	0x7B14	# <CJK>
0x314B	0x5F7C	# <CJK>
0x314C	0x78A7	# <CJK>
0x314D	0x84D6	# <CJK>
0x314E	0x853D	# <CJK>
0x314F	0x6BD5	# <CJK>
0x3150	0x6BD9	# <CJK>
0x3151	0x6BD6	# <CJK>
0x3152	0x5E01	# <CJK>
0x3153	0x5E87	# <CJK>
0x3154	0x75F9	# <CJK>
0x3155	0x95ED	# <CJK>
0x3156	0x655D	# <CJK>
0x3157	0x5F0A	# <CJK>
0x3158	0x5FC5	# <CJK>
0x3159	0x8F9F	# <CJK>
0x315A	0x58C1	# <CJK>
0x315B	0x81C2	# <CJK>
0x315C	0x907F	# <CJK>
0x315D	0x965B	# <CJK>
0x315E	0x97AD	# <CJK>
0x315F	0x8FB9	# <CJK>
0x3160	0x7F16	# <CJK>
0x3161	0x8D2C	# <CJK>
0x3162	0x6241	# <CJK>
0x3163	0x4FBF	# <CJK>
0x3164	0x53D8	# <CJK>
0x3165	0x535E	# <CJK>
0x3166	0x8FA8	# <CJK>
0x3167	0x8FA9	# <CJK>
0x3168	0x8FAB	# <CJK>
0x3169	0x904D	# <CJK>
0x316A	0x6807	# <CJK>
0x316B	0x5F6A	# <CJK>
0x316C	0x8198	# <CJK>
0x316D	0x8868	# <CJK>
0x316E	0x9CD6	# <CJK>
0x316F	0x618B	# <CJK>
0x3170	0x522B	# <CJK>
0x3171	0x762A	# <CJK>
0x3172	0x5F6C	# <CJK>
0x3173	0x658C	# <CJK>
0x3174	0x6FD2	# <CJK>
0x3175	0x6EE8	# <CJK>
0x3176	0x5BBE	# <CJK>
0x3177	0x6448	# <CJK>
0x3178	0x5175	# <CJK>
0x3179	0x51B0	# <CJK>
0x317A	0x67C4	# <CJK>
0x317B	0x4E19	# <CJK>
0x317C	0x79C9	# <CJK>
0x317D	0x997C	# <CJK>
0x317E	0x70B3	# <CJK>
0x3221	0x75C5	# <CJK>
0x3222	0x5E76	# <CJK>
0x3223	0x73BB	# <CJK>
0x3224	0x83E0	# <CJK>
0x3225	0x64AD	# <CJK>
0x3226	0x62E8	# <CJK>
0x3227	0x94B5	# <CJK>
0x3228	0x6CE2	# <CJK>
0x3229	0x535A	# <CJK>
0x322A	0x52C3	# <CJK>
0x322B	0x640F	# <CJK>
0x322C	0x94C2	# <CJK>
0x322D	0x7B94	# <CJK>
0x322E	0x4F2F	# <CJK>
0x322F	0x5E1B	# <CJK>
0x3230	0x8236	# <CJK>
0x3231	0x8116	# <CJK>
0x3232	0x818A	# <CJK>
0x3233	0x6E24	# <CJK>
0x3234	0x6CCA	# <CJK>
0x3235	0x9A73	# <CJK>
0x3236	0x6355	# <CJK>
0x3237	0x535C	# <CJK>
0x3238	0x54FA	# <CJK>
0x3239	0x8865	# <CJK>
0x323A	0x57E0	# <CJK>
0x323B	0x4E0D	# <CJK>
0x323C	0x5E03	# <CJK>
0x323D	0x6B65	# <CJK>
0x323E	0x7C3F	# <CJK>
0x323F	0x90E8	# <CJK>
0x3240	0x6016	# <CJK>
0x3241	0x64E6	# <CJK>
0x3242	0x731C	# <CJK>
0x3243	0x88C1	# <CJK>
0x3244	0x6750	# <CJK>
0x3245	0x624D	# <CJK>
0x3246	0x8D22	# <CJK>
0x3247	0x776C	# <CJK>
0x3248	0x8E29	# <CJK>
0x3249	0x91C7	# <CJK>
0x324A	0x5F69	# <CJK>
0x324B	0x83DC	# <CJK>
0x324C	0x8521	# <CJK>
0x324D	0x9910	# <CJK>
0x324E	0x53C2	# <CJK>
0x324F	0x8695	# <CJK>
0x3250	0x6B8B	# <CJK>
0x3251	0x60ED	# <CJK>
0x3252	0x60E8	# <CJK>
0x3253	0x707F	# <CJK>
0x3254	0x82CD	# <CJK>
